cell_id,Himantopus mexicanus,Himantopus mexicanus mexicanus,Himantopus mexicanus knudseni,Himantopus mexicanus melanurus,Himantopus mexicanus mexicanus x melanurus
8412515ffffffff,35.0,3.0,0.0,0.0,0.0
8412527ffffffff,8.0,2.0,0.0,0.0,0.0
8412533ffffffff,1.0,0.0,0.0,0.0,0.0
8412535ffffffff,132.0,19.0,0.0,0.0,0.0
8412537ffffffff,4.0,0.0,0.0,0.0,0.0
8412539ffffffff,10.0,0.0,0.0,0.0,0.0
841258dffffffff,2.0,0.0,0.0,0.0,0.0
8412591ffffffff,14.0,0.0,0.0,0.0,0.0
8412593ffffffff,4.0,0.0,0.0,0.0,0.0
8412595ffffffff,3.0,0.0,0.0,0.0,0.0
8412597ffffffff,26.0,1.0,0.0,0.0,0.0
84125a3ffffffff,1.0,0.0,0.0,0.0,0.0
84125a5ffffffff,6.0,0.0,0.0,0.0,0.0
84125abffffffff,2.0,0.0,0.0,0.0,0.0
84125adffffffff,13.0,0.0,0.0,0.0,0.0
84125b9ffffffff,8.0,0.0,0.0,0.0,0.0
84125bbffffffff,12.0,0.0,0.0,0.0,0.0
84125e7ffffffff,2.0,0.0,0.0,0.0,0.0
84125edffffffff,2.0,0.0,0.0,0.0,0.0
8412c1bffffffff,13.0,0.0,0.0,0.0,0.0
8412c33ffffffff,14.0,0.0,0.0,0.0,0.0
8412c39ffffffff,5.0,0.0,0.0,0.0,0.0
8412c3bffffffff,3.0,0.0,0.0,0.0,0.0
8412c81ffffffff,2.0,0.0,0.0,0.0,0.0
8412c83ffffffff,2.0,0.0,0.0,0.0,0.0
8412c85ffffffff,5.0,0.0,0.0,0.0,0.0
8412c87ffffffff,5.0,2.0,0.0,0.0,0.0
8412c89ffffffff,74.0,4.0,0.0,0.0,0.0
8412c8bffffffff,10.0,0.0,0.0,0.0,0.0
8412c91ffffffff,5.0,0.0,0.0,0.0,0.0
8412c93ffffffff,5.0,0.0,0.0,0.0,0.0
8412c97ffffffff,49.0,0.0,0.0,0.0,0.0
8412c99ffffffff,7.0,0.0,0.0,0.0,0.0
8412c9bffffffff,5.0,0.0,0.0,0.0,0.0
8412c9dffffffff,187.0,1.0,0.0,0.0,0.0
8412cabffffffff,1.0,0.0,0.0,0.0,0.0
8412cadffffffff,8.0,0.0,0.0,0.0,0.0
8412cb1ffffffff,5.0,1.0,0.0,0.0,0.0
8412cbbffffffff,5.0,0.0,0.0,0.0,0.0
8412cc1ffffffff,1755.0,42.0,0.0,0.0,0.0
8412cc3ffffffff,10.0,0.0,0.0,0.0,0.0
8412cc5ffffffff,6.0,0.0,0.0,0.0,0.0
8412cc7ffffffff,55.0,2.0,0.0,0.0,0.0
8412cc9ffffffff,2000.0,27.0,0.0,0.0,0.0
8412ccbffffffff,4.0,0.0,0.0,0.0,0.0
8412ccdffffffff,715.0,5.0,0.0,0.0,0.0
8412cd1ffffffff,4.0,0.0,0.0,0.0,0.0
8412cd3ffffffff,16.0,0.0,0.0,0.0,0.0
8412cd5ffffffff,16.0,0.0,0.0,0.0,0.0
8412cd7ffffffff,29.0,0.0,0.0,0.0,0.0
8412cd9ffffffff,377.0,5.0,0.0,0.0,0.0
8412cdbffffffff,76.0,4.0,0.0,0.0,0.0
8412cddffffffff,12.0,0.0,0.0,0.0,0.0
8412ce5ffffffff,7.0,0.0,0.0,0.0,0.0
8412ce7ffffffff,7.0,0.0,0.0,0.0,0.0
8412d17ffffffff,74.0,0.0,0.0,0.0,0.0
8412d91ffffffff,2.0,0.0,0.0,0.0,0.0
8412d9dffffffff,12.0,8.0,0.0,0.0,0.0
8412da7ffffffff,4.0,0.0,0.0,0.0,0.0
8412db3ffffffff,129.0,0.0,0.0,0.0,0.0
8412db5ffffffff,49.0,0.0,0.0,0.0,0.0
8412db7ffffffff,14.0,0.0,0.0,0.0,0.0
8412db9ffffffff,3.0,0.0,0.0,0.0,0.0
8412dd7ffffffff,5.0,0.0,0.0,0.0,0.0
8412ddbffffffff,90.0,0.0,0.0,0.0,0.0
8412de5ffffffff,2.0,0.0,0.0,0.0,0.0
