cell_id,Platycercus elegans,Platycercus elegans [elegans Group],Platycercus elegans flaveolus,Platycercus elegans adelaidae/subadelaidae,Platycercus elegans [elegans Group] x flaveolus
829c07fffffffff,1.0,0.0,0.0,0.0,0.0
829c27fffffffff,261.0,31.0,0.0,0.0,0.0
829d0ffffffffff,89.0,9.0,0.0,0.0,0.0
82b917fffffffff,1720.0,6.0,0.0,804.0,0.0
82b9a7fffffffff,97.0,0.0,4.0,54.0,0.0
82ba6ffffffffff,314.0,0.0,0.0,0.0,0.0
82be0ffffffffff,16419.0,3003.0,0.0,0.0,0.0
82be1ffffffffff,1196.0,207.0,0.0,0.0,0.0
82be2ffffffffff,239.0,18.0,0.0,0.0,0.0
82be47fffffffff,3646.0,962.0,914.0,0.0,0.0
82be4ffffffffff,2269.0,19.0,1123.0,317.0,0.0
82be57fffffffff,171.0,2.0,122.0,0.0,0.0
82be5ffffffffff,232.0,0.0,186.0,0.0,0.0
82be67fffffffff,8831.0,3058.0,0.0,0.0,0.0
82be6ffffffffff,2194.0,628.0,0.0,0.0,0.0
82be77fffffffff,14353.0,1324.0,350.0,0.0,18.0
82be8ffffffffff,1171.0,115.0,0.0,0.0,0.0
82beaffffffffff,2636.0,459.0,0.0,0.0,0.0
82bee7fffffffff,177.0,23.0,0.0,0.0,0.0
82bef7fffffffff,1493.0,228.0,0.0,0.0,0.0
82bf5ffffffffff,11.0,0.0,0.0,0.0,0.0
