cell_id,Treron phoenicopterus,Treron phoenicopterus chlorigaster/phillipsi,Treron phoenicopterus [phoenicopterus Group]
823c07fffffffff,7.0,0.0,0.0
823c0ffffffffff,1.0,0.0,0.0
823c17fffffffff,125.0,0.0,0.0
823c1ffffffffff,333.0,0.0,0.0
823c37fffffffff,64.0,0.0,0.0
823c57fffffffff,27.0,0.0,0.0
823c5ffffffffff,212.0,0.0,0.0
823c87fffffffff,120.0,0.0,0.0
823c8ffffffffff,306.0,0.0,0.0
823c97fffffffff,230.0,0.0,0.0
823c9ffffffffff,2.0,0.0,0.0
823ca7fffffffff,92.0,0.0,0.0
823caffffffffff,466.0,0.0,0.0
823cb7fffffffff,2880.0,0.0,0.0
823cc7fffffffff,606.0,0.0,0.0
823ccffffffffff,3.0,0.0,0.0
823cd7fffffffff,7.0,0.0,0.0
823cdffffffffff,18.0,0.0,0.0
823ce7fffffffff,1358.0,0.0,0.0
823ceffffffffff,1288.0,0.0,0.0
823cf7fffffffff,2238.0,0.0,0.0
823d17fffffffff,1199.0,0.0,0.0
823d37fffffffff,40.0,0.0,0.0
823d87fffffffff,2414.0,0.0,0.0
823d8ffffffffff,432.0,0.0,0.0
823d97fffffffff,251.0,0.0,0.0
823d9ffffffffff,2271.0,0.0,0.0
823da7fffffffff,4485.0,0.0,0.0
823daffffffffff,700.0,0.0,0.0
823db7fffffffff,683.0,0.0,0.0
82404ffffffffff,6.0,0.0,0.0
82424ffffffffff,154.0,0.0,0.0
824257fffffffff,4.0,0.0,0.0
82425ffffffffff,79.0,0.0,0.0
82426ffffffffff,4.0,0.0,0.0
8242c7fffffffff,197.0,0.0,0.0
8242cffffffffff,1360.0,0.0,0.0
8242d7fffffffff,9.0,0.0,0.0
8242dffffffffff,516.0,0.0,0.0
8242effffffffff,47.0,0.0,0.0
826007fffffffff,553.0,0.0,0.0
826017fffffffff,1399.0,0.0,0.0
82601ffffffffff,1690.0,0.0,0.0
826027fffffffff,32.0,0.0,0.0
826037fffffffff,927.0,0.0,0.0
826087fffffffff,53.0,0.0,0.0
82608ffffffffff,1139.0,0.0,0.0
826097fffffffff,1889.0,0.0,0.0
82609ffffffffff,613.0,0.0,0.0
8260a7fffffffff,599.0,0.0,0.0
8260affffffffff,420.0,0.0,0.0
8260b7fffffffff,281.0,0.0,0.0
8260f7fffffffff,2.0,0.0,0.0
82618ffffffffff,33.0,0.0,0.0
82619ffffffffff,4.0,0.0,0.0
826487fffffffff,54.0,0.0,0.0
82648ffffffffff,35.0,0.0,0.0
82649ffffffffff,26.0,0.0,0.0
8264a7fffffffff,61.0,0.0,0.0
826587fffffffff,4.0,0.0,0.0
826597fffffffff,257.0,0.0,0.0
8265b7fffffffff,43.0,0.0,0.0
