cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
824527fffffffff,4.0,2.0,0.0,0.0
82452ffffffffff,30.0,13.0,0.0,0.0
825f5ffffffffff,32.0,0.0,7.0,0.0
82661ffffffffff,1.0,1.0,0.0,0.0
8266a7fffffffff,3.0,0.0,0.0,0.0
8266b7fffffffff,4.0,0.0,0.0,0.0
8266d7fffffffff,10.0,0.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0,0.0
826747fffffffff,4.0,0.0,0.0,0.0
82674ffffffffff,3.0,0.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0
826d27fffffffff,2.0,0.0,0.0,0.0
826d2ffffffffff,7.0,2.0,0.0,0.0
826d37fffffffff,2.0,0.0,0.0,0.0
826d6ffffffffff,25.0,9.0,0.0,0.0
828027fffffffff,2.0,0.0,0.0,0.0
828a07fffffffff,30.0,0.0,0.0,0.0
828a17fffffffff,21.0,0.0,0.0,0.0
828a37fffffffff,1.0,0.0,0.0,0.0
828f2ffffffffff,1.0,0.0,0.0,0.0
82a82ffffffffff,2.0,0.0,0.0,0.0
