cell_id,Eupsittula pertinax,Eupsittula pertinax ocularis,Eupsittula pertinax [pertinax Group]
844ce81ffffffff,62.0,0.0,0.0
844ce8bffffffff,10.0,0.0,0.0
845e4b1ffffffff,6.0,0.0,0.0
845e659ffffffff,4.0,0.0,0.0
845f083ffffffff,153.0,0.0,0.0
845f087ffffffff,8.0,0.0,0.0
845f089ffffffff,2.0,0.0,0.0
845f08bffffffff,8.0,0.0,0.0
845f08dffffffff,3.0,0.0,0.0
845f091ffffffff,2.0,0.0,0.0
845f095ffffffff,243.0,0.0,0.0
845f09dffffffff,28.0,0.0,0.0
845f0b9ffffffff,4.0,0.0,0.0
845f0d7ffffffff,17.0,0.0,0.0
845f0e3ffffffff,6.0,0.0,0.0
845f107ffffffff,2.0,0.0,0.0
845f12bffffffff,47.0,0.0,0.0
845f131ffffffff,2.0,0.0,0.0
845f139ffffffff,2.0,0.0,0.0
845f13bffffffff,9.0,0.0,0.0
845f13dffffffff,30.0,0.0,0.0
845f1c3ffffffff,49.0,0.0,0.0
845f1c9ffffffff,2.0,0.0,0.0
845f1cbffffffff,71.0,0.0,0.0
845f1ddffffffff,1.0,0.0,0.0
845f1e9ffffffff,38.0,0.0,0.0
845f1edffffffff,9.0,0.0,0.0
845f283ffffffff,2.0,0.0,0.0
845f291ffffffff,95.0,0.0,0.0
845f293ffffffff,4.0,0.0,0.0
845f295ffffffff,127.0,0.0,0.0
845f297ffffffff,16.0,0.0,0.0
845f299ffffffff,161.0,0.0,0.0
845f29dffffffff,135.0,0.0,0.0
845f2b1ffffffff,8.0,0.0,0.0
845f2b9ffffffff,2.0,0.0,0.0
845f2bbffffffff,278.0,0.0,0.0
845f2d1ffffffff,85.0,0.0,0.0
845f2d3ffffffff,30.0,0.0,0.0
845f2d5ffffffff,9.0,0.0,0.0
845f2d7ffffffff,38.0,0.0,0.0
845f2dbffffffff,16.0,0.0,0.0
845f403ffffffff,19.0,0.0,0.0
845f407ffffffff,30.0,0.0,0.0
845f40dffffffff,2.0,0.0,0.0
845f415ffffffff,16.0,0.0,0.0
845f417ffffffff,4.0,0.0,0.0
845f42bffffffff,40.0,0.0,0.0
845f433ffffffff,4.0,0.0,0.0
845f437ffffffff,10.0,0.0,0.0
845f445ffffffff,3.0,0.0,0.0
845f46bffffffff,3.0,0.0,0.0
845f483ffffffff,10.0,0.0,0.0
845f485ffffffff,1.0,0.0,0.0
845f487ffffffff,39.0,0.0,0.0
845f491ffffffff,19.0,0.0,0.0
845f49bffffffff,3.0,0.0,0.0
845f4a3ffffffff,13.0,0.0,0.0
845f4a7ffffffff,3.0,0.0,0.0
845f4a9ffffffff,15.0,0.0,0.0
845f4abffffffff,15.0,0.0,0.0
845f4b3ffffffff,49.0,0.0,0.0
845f4b9ffffffff,3.0,0.0,1.0
845f4bdffffffff,16.0,0.0,0.0
845f4d5ffffffff,2.0,0.0,0.0
845f4d7ffffffff,2.0,0.0,0.0
845f4ddffffffff,2.0,0.0,0.0
845f4e5ffffffff,22.0,0.0,0.0
845f4e7ffffffff,12.0,0.0,0.0
845f50bffffffff,2.0,0.0,0.0
845f5d9ffffffff,1.0,0.0,0.0
845f5dbffffffff,3.0,0.0,0.0
845f665ffffffff,2.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,23.0,0.0,0.0
845f689ffffffff,5.0,0.0,0.0
845f68bffffffff,19.0,0.0,0.0
845f711ffffffff,13.0,0.0,0.0
845f713ffffffff,5.0,0.0,0.0
845f719ffffffff,2.0,0.0,0.0
845f74bffffffff,4.0,0.0,0.0
845f74dffffffff,1.0,0.0,1.0
845f755ffffffff,16.0,0.0,2.0
845f759ffffffff,19.0,0.0,0.0
845f75dffffffff,13.0,0.0,0.0
8466001ffffffff,2.0,0.0,0.0
8466005ffffffff,50.0,0.0,0.0
8466007ffffffff,8.0,0.0,6.0
8466009ffffffff,5.0,0.0,0.0
846600dffffffff,4.0,0.0,0.0
8466013ffffffff,3.0,0.0,0.0
8466017ffffffff,2.0,0.0,0.0
846601bffffffff,14.0,0.0,0.0
8466021ffffffff,378.0,0.0,12.0
8466023ffffffff,36.0,0.0,0.0
8466025ffffffff,102.0,0.0,0.0
8466027ffffffff,41.0,0.0,0.0
8466029ffffffff,158.0,0.0,0.0
846602bffffffff,25.0,0.0,2.0
846602dffffffff,5.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
8466035ffffffff,16.0,0.0,0.0
846603dffffffff,11.0,0.0,0.0
8466043ffffffff,20.0,0.0,0.0
8466045ffffffff,48.0,0.0,1.0
8466049ffffffff,2.0,0.0,0.0
846604dffffffff,12.0,0.0,0.0
8466053ffffffff,6.0,0.0,0.0
8466055ffffffff,25.0,0.0,0.0
8466057ffffffff,7.0,0.0,0.0
8466059ffffffff,16.0,0.0,0.0
846605bffffffff,1.0,0.0,0.0
8466061ffffffff,47.0,0.0,1.0
8466063ffffffff,21.0,0.0,1.0
8466067ffffffff,445.0,0.0,13.0
8466069ffffffff,15.0,0.0,0.0
846606bffffffff,12.0,0.0,0.0
8466089ffffffff,9.0,0.0,0.0
846608dffffffff,15.0,0.0,0.0
8466091ffffffff,18.0,0.0,0.0
8466093ffffffff,25.0,0.0,0.0
8466097ffffffff,8.0,0.0,0.0
8466099ffffffff,22.0,0.0,0.0
846609bffffffff,37.0,0.0,0.0
84660a1ffffffff,16.0,0.0,0.0
84660a5ffffffff,19.0,0.0,0.0
84660a7ffffffff,3.0,0.0,0.0
84660a9ffffffff,3.0,0.0,0.0
84660adffffffff,37.0,0.0,0.0
84660b3ffffffff,11.0,0.0,0.0
84660b9ffffffff,3.0,0.0,0.0
84660c5ffffffff,24.0,0.0,0.0
84660c7ffffffff,3.0,0.0,0.0
84660cbffffffff,54.0,0.0,0.0
84660cdffffffff,7.0,0.0,0.0
84660d1ffffffff,28.0,0.0,0.0
84660d3ffffffff,22.0,0.0,0.0
84660d9ffffffff,4.0,0.0,0.0
84660dbffffffff,11.0,0.0,0.0
84660ddffffffff,2.0,0.0,0.0
84660e1ffffffff,143.0,0.0,0.0
84660e3ffffffff,110.0,0.0,0.0
84660e7ffffffff,24.0,0.0,0.0
84660e9ffffffff,32.0,0.0,0.0
84660ebffffffff,109.0,0.0,0.0
8466117ffffffff,1.0,0.0,0.0
8466119ffffffff,34.0,0.0,0.0
8466153ffffffff,24.0,0.0,3.0
846615bffffffff,19.0,0.0,0.0
8466183ffffffff,24.0,0.0,0.0
846618bffffffff,46.0,0.0,0.0
8466193ffffffff,29.0,0.0,0.0
8466195ffffffff,8.0,0.0,0.0
846619bffffffff,15.0,0.0,0.0
846619dffffffff,113.0,0.0,0.0
84661b3ffffffff,12.0,0.0,0.0
84661bbffffffff,15.0,0.0,0.0
84661c9ffffffff,18.0,0.0,0.0
84661cbffffffff,5.0,0.0,0.0
84661cdffffffff,4.0,0.0,0.0
84661d7ffffffff,3.0,0.0,0.0
84661ebffffffff,1.0,0.0,0.0
8466201ffffffff,41.0,0.0,2.0
