cell_id,Iole viridescens,Iole viridescens viridescens/lekhakuni,Iole viridescens cinnamomeoventris
843cc83ffffffff,3.0,0.0,0.0
843ccb3ffffffff,1.0,0.0,0.0
843ccd3ffffffff,2.0,0.0,0.0
843ccebffffffff,2.0,1.0,0.0
843cd91ffffffff,2.0,0.0,0.0
843cdc1ffffffff,1.0,0.0,0.0
843cddbffffffff,3.0,0.0,0.0
843ce97ffffffff,4.0,0.0,0.0
843cebbffffffff,8.0,0.0,0.0
8440499ffffffff,3.0,0.0,0.0
8464125ffffffff,2.0,0.0,0.0
846414dffffffff,2.0,0.0,0.0
8464161ffffffff,20.0,0.0,15.0
846416dffffffff,1147.0,0.0,755.0
8464225ffffffff,3.0,0.0,2.0
846422dffffffff,3.0,0.0,3.0
846430bffffffff,3.0,0.0,3.0
8464319ffffffff,107.0,0.0,74.0
846431dffffffff,21.0,0.0,21.0
8464323ffffffff,75.0,0.0,65.0
8464339ffffffff,2.0,0.0,2.0
846433dffffffff,39.0,0.0,32.0
8464343ffffffff,104.0,0.0,94.0
846434bffffffff,4.0,0.0,2.0
8464353ffffffff,4.0,0.0,4.0
8464357ffffffff,4.0,0.0,1.0
8464359ffffffff,5.0,0.0,5.0
846435bffffffff,8.0,0.0,6.0
846480bffffffff,38.0,19.0,0.0
8464843ffffffff,6.0,3.0,0.0
8464849ffffffff,1.0,0.0,0.0
846484bffffffff,52.0,31.0,0.0
846485dffffffff,6.0,2.0,0.0
846488bffffffff,2.0,0.0,0.0
84648a5ffffffff,2.0,0.0,0.0
84648b1ffffffff,2.0,2.0,0.0
84648b5ffffffff,3.0,0.0,0.0
84648e9ffffffff,2.0,0.0,0.0
84648ebffffffff,2.0,0.0,0.0
84649e3ffffffff,2.0,0.0,0.0
8464a03ffffffff,9.0,0.0,0.0
8464a07ffffffff,1.0,1.0,0.0
8464a0bffffffff,1.0,0.0,0.0
8464a11ffffffff,8.0,5.0,0.0
8464a15ffffffff,10.0,2.0,0.0
8464a17ffffffff,6.0,2.0,0.0
8464a19ffffffff,3.0,1.0,0.0
8464a1bffffffff,2.0,0.0,0.0
8464a31ffffffff,5.0,0.0,0.0
8464a35ffffffff,45.0,14.0,0.0
8464a37ffffffff,2.0,0.0,0.0
8464a39ffffffff,4.0,1.0,0.0
8464a3dffffffff,20.0,9.0,0.0
8464a57ffffffff,5.0,0.0,0.0
8464a5bffffffff,4.0,0.0,0.0
8464ae5ffffffff,1.0,0.0,0.0
8465183ffffffff,45.0,0.0,36.0
846518bffffffff,1.0,0.0,0.0
84651b9ffffffff,2.0,0.0,0.0
8465893ffffffff,3.0,0.0,0.0
8465897ffffffff,7.0,0.0,5.0
846589bffffffff,7.0,0.0,7.0
