cell_id,Automolus ochrolaemus,Automolus ochrolaemus pallidigularis,Automolus ochrolaemus turdinus,Automolus ochrolaemus ochrolaemus,Automolus ochrolaemus auricularis
836613fffffffff,1.0,0.0,0.0,1.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0,0.0
83661bfffffffff,8.0,0.0,0.0,0.0,0.0
83661cfffffffff,82.0,0.0,0.0,0.0,0.0
8366d0fffffffff,6.0,1.0,0.0,0.0,0.0
8366d2fffffffff,2.0,0.0,0.0,0.0,0.0
8366d3fffffffff,10.0,1.0,0.0,0.0,0.0
8366dafffffffff,9.0,0.0,1.0,0.0,0.0
8366defffffffff,4.0,0.0,0.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0,0.0,0.0
8366ecfffffffff,27.0,0.0,0.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0,0.0,0.0
838a05fffffffff,3.0,0.0,0.0,0.0,3.0
838b74fffffffff,1.0,1.0,0.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0,1.0,0.0
838f72fffffffff,1.0,1.0,0.0,0.0,0.0
