cell_id,Megascops guatemalae,Megascops guatemalae [guatemalae Group],Megascops guatemalae vermiculatus
8444249ffffffff,5.0,0.0,0.0
8445019ffffffff,61.0,0.0,0.0
844505bffffffff,4.0,0.0,0.0
8445083ffffffff,59.0,16.0,0.0
8445085ffffffff,25.0,0.0,0.0
8445087ffffffff,250.0,39.0,0.0
844508bffffffff,10.0,2.0,0.0
8445091ffffffff,1.0,0.0,0.0
8445099ffffffff,5.0,0.0,0.0
844509dffffffff,3.0,0.0,0.0
84450a1ffffffff,39.0,0.0,0.0
84450a3ffffffff,30.0,0.0,0.0
84450a5ffffffff,2.0,1.0,0.0
84450a7ffffffff,1.0,1.0,0.0
84450a9ffffffff,7.0,1.0,0.0
84450abffffffff,4.0,0.0,0.0
84450b1ffffffff,4.0,2.0,0.0
84450b5ffffffff,3.0,2.0,0.0
84450bdffffffff,7.0,0.0,0.0
84450c5ffffffff,15.0,4.0,0.0
84450cdffffffff,7.0,5.0,0.0
84450d1ffffffff,3.0,3.0,0.0
84450d3ffffffff,36.0,9.0,0.0
84450d5ffffffff,3.0,0.0,0.0
84450e3ffffffff,2.0,0.0,0.0
84450ebffffffff,75.0,23.0,0.0
8445201ffffffff,2.0,0.0,0.0
8445203ffffffff,22.0,1.0,0.0
8445205ffffffff,3.0,0.0,0.0
8445207ffffffff,2.0,2.0,0.0
844520bffffffff,39.0,16.0,0.0
844520dffffffff,10.0,0.0,0.0
8445215ffffffff,91.0,0.0,0.0
8445217ffffffff,25.0,0.0,0.0
844521dffffffff,52.0,0.0,0.0
8445221ffffffff,14.0,0.0,0.0
8445225ffffffff,202.0,34.0,0.0
844522bffffffff,10.0,0.0,0.0
8445233ffffffff,52.0,1.0,0.0
8445241ffffffff,4.0,0.0,0.0
8445243ffffffff,3.0,2.0,0.0
8445247ffffffff,19.0,0.0,0.0
8445251ffffffff,8.0,2.0,0.0
8445255ffffffff,10.0,0.0,0.0
844525bffffffff,75.0,22.0,0.0
8445261ffffffff,5.0,5.0,0.0
8445263ffffffff,12.0,4.0,0.0
8445267ffffffff,2.0,2.0,0.0
844526bffffffff,13.0,10.0,0.0
8445283ffffffff,1.0,0.0,0.0
8445285ffffffff,4.0,2.0,0.0
