cell_id,Todirostrum cinereum,Todirostrum cinereum [cinereum Group],Todirostrum cinereum sclateri
824427fffffffff,4.0,0.0,0.0
824507fffffffff,848.0,0.0,0.0
82450ffffffffff,1198.0,0.0,0.0
82451ffffffffff,41.0,0.0,0.0
824527fffffffff,7206.0,2.0,0.0
82452ffffffffff,9556.0,88.0,0.0
824537fffffffff,559.0,0.0,0.0
824577fffffffff,590.0,0.0,0.0
825f07fffffffff,9.0,0.0,0.0
825f0ffffffffff,462.0,0.0,0.0
825f17fffffffff,62.0,0.0,0.0
825f1ffffffffff,160.0,0.0,0.0
825f27fffffffff,7.0,0.0,0.0
825f2ffffffffff,338.0,0.0,0.0
825f47fffffffff,135.0,0.0,0.0
825f4ffffffffff,147.0,0.0,0.0
825f57fffffffff,27.0,0.0,0.0
825f5ffffffffff,1.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0
825f6ffffffffff,5.0,0.0,0.0
825f77fffffffff,54.0,0.0,0.0
826607fffffffff,857.0,0.0,0.0
82660ffffffffff,4244.0,28.0,0.0
826617fffffffff,1776.0,0.0,0.0
82661ffffffffff,11898.0,47.0,0.0
826627fffffffff,1210.0,35.0,0.0
82662ffffffffff,321.0,0.0,0.0
826637fffffffff,342.0,0.0,0.0
826647fffffffff,263.0,0.0,0.0
826657fffffffff,1123.0,2.0,0.0
82665ffffffffff,8.0,0.0,0.0
826667fffffffff,198.0,2.0,0.0
82666ffffffffff,2.0,0.0,0.0
826677fffffffff,799.0,1.0,0.0
826687fffffffff,24.0,0.0,0.0
8266a7fffffffff,9759.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0
8266b7fffffffff,18082.0,0.0,0.0
8266c7fffffffff,3266.0,9.0,0.0
8266cffffffffff,5.0,0.0,0.0
8266d7fffffffff,4193.0,0.0,201.0
8266dffffffffff,1708.0,131.0,0.0
8266e7fffffffff,19985.0,123.0,0.0
8266effffffffff,289.0,0.0,0.0
8266f7fffffffff,10195.0,10.0,0.0
826747fffffffff,661.0,5.0,0.0
82674ffffffffff,3081.0,3.0,0.0
826757fffffffff,253.0,0.0,0.0
82675ffffffffff,1034.0,0.0,0.0
826797fffffffff,430.0,0.0,0.0
82679ffffffffff,3716.0,0.0,0.0
8267b7fffffffff,2.0,0.0,0.0
826d07fffffffff,402.0,50.0,0.0
826d27fffffffff,334.0,3.0,0.0
826d2ffffffffff,3565.0,102.0,0.0
826d37fffffffff,2101.0,69.0,0.0
826d67fffffffff,3874.0,0.0,0.0
826d6ffffffffff,31280.0,0.0,0.0
826d77fffffffff,678.0,0.0,0.0
828007fffffffff,30.0,0.0,0.0
82800ffffffffff,11.0,0.0,0.0
828017fffffffff,623.0,9.0,0.0
828027fffffffff,8.0,0.0,0.0
82802ffffffffff,6.0,0.0,0.0
828037fffffffff,327.0,14.0,0.0
828047fffffffff,67.0,0.0,0.0
82804ffffffffff,6.0,0.0,0.0
828057fffffffff,12.0,1.0,0.0
828067fffffffff,7.0,0.0,0.0
82806ffffffffff,2.0,0.0,0.0
828077fffffffff,18.0,0.0,0.0
8280a7fffffffff,1.0,1.0,0.0
828107fffffffff,249.0,10.0,0.0
82810ffffffffff,4.0,0.0,0.0
828117fffffffff,50.0,2.0,0.0
82811ffffffffff,29.0,0.0,0.0
828127fffffffff,235.0,6.0,0.0
82812ffffffffff,4.0,0.0,0.0
828137fffffffff,487.0,16.0,0.0
828147fffffffff,80.0,0.0,0.0
82814ffffffffff,98.0,0.0,0.0
82815ffffffffff,85.0,1.0,0.0
828167fffffffff,85.0,0.0,0.0
828177fffffffff,125.0,0.0,0.0
828187fffffffff,672.0,47.0,0.0
82818ffffffffff,254.0,0.0,0.0
82819ffffffffff,48.0,0.0,0.0
8281a7fffffffff,5.0,0.0,0.0
8281affffffffff,179.0,8.0,0.0
828a87fffffffff,2.0,0.0,0.0
828adffffffffff,105.0,15.0,0.0
828b0ffffffffff,63.0,0.0,0.0
828b17fffffffff,2.0,0.0,0.0
828b1ffffffffff,9.0,0.0,0.0
828b2ffffffffff,78.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b67fffffffff,23.0,0.0,0.0
828b6ffffffffff,537.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
828b9ffffffffff,3.0,0.0,0.0
828ba7fffffffff,37.0,0.0,0.0
828e67fffffffff,409.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f0ffffffffff,942.0,0.0,0.0
828f27fffffffff,22.0,0.0,0.0
828f2ffffffffff,1445.0,0.0,25.0
828f47fffffffff,1260.0,10.0,0.0
828f4ffffffffff,52.0,0.0,0.0
828f57fffffffff,1210.0,3.0,0.0
828f5ffffffffff,59.0,2.0,0.0
828f77fffffffff,1180.0,58.0,0.0
82a597fffffffff,193.0,1.0,0.0
82a807fffffffff,109.0,0.0,0.0
82a80ffffffffff,73.0,0.0,0.0
82a817fffffffff,3369.0,158.0,0.0
82a81ffffffffff,4679.0,4.0,0.0
82a827fffffffff,10.0,0.0,0.0
82a82ffffffffff,111.0,0.0,0.0
82a837fffffffff,69.0,2.0,0.0
82a847fffffffff,215.0,1.0,0.0
82a84ffffffffff,8.0,0.0,0.0
82a857fffffffff,156.0,8.0,0.0
82a85ffffffffff,1594.0,30.0,0.0
82a867fffffffff,5.0,0.0,0.0
82a86ffffffffff,60.0,0.0,0.0
82a877fffffffff,66.0,1.0,0.0
82a887fffffffff,181.0,2.0,0.0
82a88ffffffffff,301.0,3.0,0.0
82a897fffffffff,217.0,20.0,0.0
82a89ffffffffff,41.0,0.0,0.0
82a8a7fffffffff,1492.0,22.0,0.0
82a8affffffffff,468.0,10.0,0.0
82a8b7fffffffff,55.0,0.0,0.0
82a8c7fffffffff,389.0,5.0,0.0
82a8cffffffffff,13.0,6.0,0.0
82a8d7fffffffff,627.0,81.0,0.0
82a8dffffffffff,91.0,3.0,0.0
82a8e7fffffffff,52.0,0.0,0.0
82a8effffffffff,58.0,1.0,0.0
82a8f7fffffffff,114.0,1.0,0.0
82a90ffffffffff,15.0,0.0,0.0
82a91ffffffffff,35.0,0.0,0.0
82a947fffffffff,82.0,0.0,0.0
82a94ffffffffff,20.0,0.0,0.0
82a957fffffffff,492.0,0.0,0.0
82a95ffffffffff,8.0,0.0,0.0
82b367fffffffff,1.0,0.0,0.0
