cell_id,Oreonympha nobilis,Oreonympha nobilis albolimbata,Oreonympha nobilis nobilis
848b609ffffffff,2.0,0.0,0.0
848b60bffffffff,3.0,0.0,0.0
848b611ffffffff,461.0,0.0,57.0
848b613ffffffff,1.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,9.0,0.0,0.0
848b619ffffffff,22.0,0.0,0.0
848b61bffffffff,343.0,0.0,12.0
848b61dffffffff,466.0,0.0,26.0
848b657ffffffff,10.0,0.0,0.0
848b6c9ffffffff,3.0,0.0,0.0
848b6cdffffffff,26.0,0.0,0.0
848e617ffffffff,8.0,2.0,0.0
848e61dffffffff,17.0,0.0,0.0
848e681ffffffff,5.0,0.0,0.0
848e699ffffffff,3.0,0.0,0.0
848e6c1ffffffff,4.0,0.0,0.0
848e6c5ffffffff,4.0,0.0,0.0
848e6c7ffffffff,11.0,0.0,0.0
848e6cdffffffff,11.0,0.0,0.0
848e6d7ffffffff,1.0,0.0,0.0
848e6d9ffffffff,4.0,0.0,0.0
848e6ddffffffff,2.0,0.0,0.0
