cell_id,Phaethornis griseogularis,Phaethornis griseogularis porcullae,Phaethornis griseogularis griseogularis/zonura
82660ffffffffff,168.0,0.0,0.0
82662ffffffffff,69.0,0.0,0.0
826657fffffffff,14.0,0.0,0.0
826667fffffffff,1.0,0.0,0.0
82666ffffffffff,1.0,0.0,0.0
826677fffffffff,6.0,0.0,0.0
8266c7fffffffff,777.0,0.0,4.0
8266cffffffffff,11.0,0.0,0.0
8266d7fffffffff,264.0,0.0,0.0
8266dffffffffff,614.0,0.0,38.0
8266e7fffffffff,1663.0,0.0,9.0
8266effffffffff,56.0,0.0,0.0
826757fffffffff,6.0,0.0,0.0
82675ffffffffff,5.0,0.0,0.0
828f0ffffffffff,101.0,6.0,0.0
828f2ffffffffff,1.0,0.0,0.0
828f47fffffffff,94.0,0.0,0.0
828f57fffffffff,423.0,47.0,0.0
828f77fffffffff,558.0,0.0,55.0
