cell_id,Corypha apiata,Corypha apiata apiata,Corypha apiata marjoriae
83ad12fffffffff,15.0,0.0,0.0
83ad16fffffffff,1.0,0.0,0.0
83ad32fffffffff,52.0,10.0,0.0
83ad36fffffffff,63.0,27.0,0.0
83ad86fffffffff,2.0,0.0,0.0
83ada0fffffffff,6.0,0.0,0.0
83ada1fffffffff,2.0,1.0,0.0
83adb5fffffffff,1.0,0.0,0.0
83bc40fffffffff,27.0,0.0,0.0
83bc41fffffffff,3.0,0.0,0.0
83bc43fffffffff,8.0,2.0,0.0
83bc45fffffffff,8.0,0.0,2.0
83bc46fffffffff,1.0,0.0,0.0
83bc48fffffffff,4.0,2.0,0.0
83bc49fffffffff,41.0,14.0,0.0
83bc4bfffffffff,13.0,5.0,0.0
83bc4cfffffffff,1.0,0.0,0.0
83bc4dfffffffff,51.0,17.0,0.0
83bc50fffffffff,1.0,0.0,0.0
83bc51fffffffff,1.0,0.0,0.0
83bc55fffffffff,1.0,0.0,0.0
83bc5dfffffffff,2.0,0.0,0.0
83bc5efffffffff,2.0,0.0,0.0
83bc68fffffffff,72.0,3.0,38.0
83bc69fffffffff,17.0,0.0,5.0
83bc6afffffffff,98.0,9.0,45.0
83bc6bfffffffff,64.0,13.0,10.0
83bc73fffffffff,4.0,0.0,0.0
83bce9fffffffff,2.0,0.0,0.0
