cell_id,Geokichla citrina,Geokichla citrina [citrina Group],Geokichla citrina cyanota,Geokichla citrina albogularis/andamanensis,Geokichla citrina [aurimacula Group]
84209a5ffffffff,35.0,0.0,0.0,0.0,0.0
8430963ffffffff,1.0,0.0,0.0,0.0,1.0
84309a3ffffffff,1.0,0.0,0.0,0.0,0.0
843c025ffffffff,1.0,0.0,0.0,0.0,0.0
843c029ffffffff,34.0,0.0,0.0,0.0,0.0
843c02dffffffff,31.0,0.0,0.0,0.0,0.0
843c065ffffffff,2.0,0.0,0.0,0.0,0.0
843c067ffffffff,35.0,0.0,0.0,0.0,0.0
843c0a3ffffffff,2.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,23.0,0.0,0.0,0.0,0.0
843c0b5ffffffff,1.0,0.0,0.0,0.0,0.0
843c0b7ffffffff,1.0,0.0,0.0,0.0,0.0
843c141ffffffff,1.0,0.0,0.0,0.0,0.0
843c155ffffffff,3.0,0.0,0.0,0.0,0.0
843c159ffffffff,27.0,0.0,0.0,0.0,0.0
843c165ffffffff,2.0,0.0,0.0,0.0,0.0
843c191ffffffff,2.0,0.0,0.0,0.0,0.0
843c199ffffffff,13.0,0.0,0.0,0.0,0.0
843c19bffffffff,10.0,0.0,0.0,0.0,0.0
843c1b9ffffffff,3.0,0.0,0.0,0.0,0.0
843c1c3ffffffff,41.0,0.0,0.0,0.0,0.0
843c1c7ffffffff,2.0,0.0,0.0,0.0,0.0
843c1d1ffffffff,1.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,12.0,0.0,0.0,0.0,0.0
843c1d5ffffffff,1.0,0.0,0.0,0.0,0.0
843c1d7ffffffff,4.0,0.0,0.0,0.0,0.0
843c1dbffffffff,1.0,0.0,0.0,0.0,0.0
843c337ffffffff,3.0,0.0,0.0,0.0,0.0
843c33bffffffff,1.0,0.0,0.0,0.0,0.0
843c369ffffffff,7.0,0.0,0.0,0.0,0.0
843c36bffffffff,7.0,0.0,0.0,0.0,0.0
843c537ffffffff,3.0,0.0,0.0,0.0,0.0
843c581ffffffff,36.0,0.0,0.0,0.0,0.0
843c58dffffffff,1.0,0.0,0.0,0.0,0.0
843c5a1ffffffff,28.0,0.0,0.0,0.0,0.0
843c5a9ffffffff,9.0,0.0,0.0,0.0,0.0
843c5adffffffff,2.0,0.0,0.0,0.0,0.0
843c5bdffffffff,3.0,0.0,0.0,0.0,0.0
843c5e3ffffffff,1.0,0.0,0.0,0.0,0.0
843c805ffffffff,4.0,0.0,0.0,0.0,0.0
843c831ffffffff,2.0,0.0,0.0,0.0,0.0
843c837ffffffff,5.0,0.0,0.0,0.0,0.0
843c839ffffffff,21.0,0.0,3.0,0.0,0.0
843c83bffffffff,1.0,0.0,0.0,0.0,0.0
843c885ffffffff,45.0,0.0,3.0,0.0,0.0
843c889ffffffff,2.0,0.0,0.0,0.0,0.0
843c899ffffffff,11.0,0.0,0.0,0.0,0.0
843c8c1ffffffff,20.0,0.0,0.0,0.0,0.0
843c8c7ffffffff,87.0,0.0,32.0,0.0,0.0
843c8c9ffffffff,5.0,0.0,0.0,0.0,0.0
843c8cbffffffff,40.0,0.0,2.0,0.0,0.0
843c8d7ffffffff,6.0,2.0,0.0,0.0,0.0
843c8d9ffffffff,3.0,0.0,0.0,0.0,0.0
843c8dbffffffff,15.0,0.0,0.0,0.0,0.0
843c8e1ffffffff,10.0,0.0,2.0,0.0,0.0
843c8e5ffffffff,62.0,0.0,0.0,0.0,0.0
843c8edffffffff,105.0,0.0,0.0,0.0,0.0
843c907ffffffff,3.0,0.0,0.0,0.0,0.0
843c909ffffffff,71.0,0.0,3.0,0.0,0.0
843c90bffffffff,6.0,0.0,0.0,0.0,0.0
843c925ffffffff,1.0,0.0,0.0,0.0,0.0
843c927ffffffff,1.0,0.0,0.0,0.0,0.0
843c929ffffffff,11.0,0.0,0.0,0.0,0.0
843c92bffffffff,2.0,0.0,0.0,0.0,0.0
843c92dffffffff,48.0,0.0,0.0,0.0,0.0
843c931ffffffff,29.0,0.0,0.0,0.0,0.0
843c943ffffffff,46.0,0.0,0.0,0.0,0.0
843c945ffffffff,3.0,0.0,0.0,0.0,0.0
843c947ffffffff,22.0,0.0,0.0,0.0,0.0
843c94bffffffff,2.0,0.0,0.0,0.0,0.0
843c965ffffffff,3.0,0.0,0.0,0.0,0.0
843c967ffffffff,12.0,0.0,0.0,0.0,0.0
843c9d9ffffffff,2.0,0.0,0.0,0.0,0.0
843ca21ffffffff,6.0,0.0,2.0,0.0,0.0
843ca25ffffffff,4.0,0.0,0.0,0.0,0.0
843ca3bffffffff,2.0,0.0,0.0,0.0,0.0
