cell_id,Electron platyrhynchum,Electron platyrhynchum [platyrhynchum Group],Electron platyrhynchum [pyrrholaemum Group]
824537fffffffff,21.0,0.0,0.0
826607fffffffff,2.0,0.0,0.0
82660ffffffffff,262.0,0.0,0.0
826617fffffffff,522.0,55.0,0.0
82661ffffffffff,747.0,17.0,0.0
8266a7fffffffff,6500.0,513.0,0.0
8266b7fffffffff,1173.0,0.0,0.0
8266cffffffffff,2.0,0.0,0.0
8266d7fffffffff,3213.0,303.0,0.0
8266dffffffffff,172.0,0.0,9.0
8266e7fffffffff,9.0,0.0,0.0
8266f7fffffffff,1082.0,19.0,0.0
826797fffffffff,70.0,0.0,0.0
82679ffffffffff,1146.0,0.0,0.0
826d6ffffffffff,10984.0,0.0,0.0
828047fffffffff,2.0,0.0,0.0
82814ffffffffff,28.0,0.0,0.0
828a07fffffffff,51.0,0.0,3.0
828a17fffffffff,12.0,0.0,0.0
828a1ffffffffff,8.0,0.0,0.0
828a27fffffffff,22.0,0.0,0.0
828a2ffffffffff,2.0,0.0,0.0
828a37fffffffff,7.0,0.0,0.0
828a47fffffffff,6.0,0.0,0.0
828a6ffffffffff,21.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0
828a87fffffffff,23.0,0.0,0.0
828b0ffffffffff,3.0,0.0,0.0
828b27fffffffff,3.0,0.0,0.0
828b2ffffffffff,10.0,0.0,0.0
828b47fffffffff,802.0,0.0,0.0
828b4ffffffffff,18.0,0.0,2.0
828b57fffffffff,33.0,0.0,0.0
828b5ffffffffff,80.0,0.0,1.0
828b67fffffffff,243.0,0.0,0.0
828b6ffffffffff,108.0,0.0,0.0
828b77fffffffff,60.0,0.0,0.0
828b87fffffffff,4.0,0.0,0.0
828b8ffffffffff,10.0,0.0,0.0
828b9ffffffffff,31.0,0.0,0.0
828e67fffffffff,5.0,0.0,0.0
828f0ffffffffff,150.0,12.0,0.0
828f2ffffffffff,103.0,8.0,0.0
828f47fffffffff,254.0,0.0,0.0
828f4ffffffffff,25.0,0.0,0.0
828f5ffffffffff,20.0,0.0,0.0
828f67fffffffff,9.0,0.0,0.0
828f6ffffffffff,13.0,0.0,3.0
828f77fffffffff,4.0,0.0,0.0
82b327fffffffff,1.0,0.0,0.0
