cell_id,Eupsittula nana,Eupsittula nana astec/vicinalis,Eupsittula nana nana
824427fffffffff,9.0,0.0,0.0
824507fffffffff,2450.0,242.0,0.0
82450ffffffffff,8457.0,1993.0,0.0
82451ffffffffff,245.0,51.0,0.0
824527fffffffff,9391.0,388.0,0.0
82452ffffffffff,21444.0,2288.0,0.0
824537fffffffff,1716.0,0.0,0.0
824577fffffffff,1305.0,315.0,0.0
8245b7fffffffff,1180.0,0.0,132.0
824997fffffffff,1987.0,266.0,0.0
82499ffffffffff,99.0,6.0,0.0
824cd7fffffffff,261.0,0.0,24.0
824cf7fffffffff,2.0,0.0,0.0
8266a7fffffffff,155.0,17.0,0.0
8266b7fffffffff,302.0,11.0,0.0
826727fffffffff,18.0,0.0,0.0
826737fffffffff,1071.0,0.0,323.0
826797fffffffff,341.0,0.0,0.0
82679ffffffffff,2448.0,21.0,0.0
8267b7fffffffff,16.0,0.0,0.0
826d07fffffffff,1.0,1.0,0.0
826d27fffffffff,1664.0,182.0,0.0
826d2ffffffffff,900.0,296.0,0.0
826d37fffffffff,1375.0,263.0,0.0
826d67fffffffff,262.0,0.0,0.0
826d6ffffffffff,8409.0,0.0,0.0
