cell_id,Oriolus chinensis,Oriolus chinensis diffusus,Oriolus chinensis [maculatus Group],Oriolus chinensis [chinensis Group],Oriolus chinensis melanisticus,Oriolus chinensis [frontalis Group],Oriolus chinensis broderipi/boneratensis
8214affffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0
8224dffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822ec7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822ecffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
822edffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823007fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82301ffffffffff,57.0,4.0,0.0,0.0,0.0,0.0,0.0
823027fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
823037fffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0
823087fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0
823097fffffffff,23.0,1.0,0.0,0.0,0.0,0.0,0.0
82309ffffffffff,272.0,2.0,0.0,0.0,0.0,0.0,0.0
8230affffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8230c7fffffffff,189.0,10.0,0.0,0.0,0.0,0.0,0.0
8230d7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8230e7fffffffff,540.0,21.0,0.0,0.0,0.0,0.0,0.0
8230effffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8230f7fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
82315ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82316ffffffffff,52.0,3.0,0.0,0.0,0.0,0.0,0.0
823187fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0
82318ffffffffff,169.0,1.0,0.0,0.0,0.0,0.0,0.0
823197fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8231affffffffff,223.0,0.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
823c57fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
823c87fffffffff,95.0,0.0,0.0,0.0,0.0,0.0,0.0
823c8ffffffffff,136.0,0.0,0.0,0.0,0.0,0.0,0.0
823c97fffffffff,99.0,0.0,0.0,0.0,0.0,0.0,0.0
823c9ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
823caffffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
823cb7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
823cc7fffffffff,145.0,0.0,0.0,0.0,0.0,0.0,0.0
823ccffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
823cdffffffffff,44.0,7.0,0.0,0.0,0.0,0.0,0.0
823ce7fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
823ceffffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
823cf7fffffffff,873.0,24.0,0.0,0.0,0.0,0.0,0.0
82402ffffffffff,20.0,6.0,0.0,0.0,0.0,0.0,0.0
824037fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824047fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
82404ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
82405ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824067fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82406ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824077fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82408ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
824097fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8240a7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8240b7fffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8240c7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8240e7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8240effffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8240f7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
824107fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
82411ffffffffff,147.0,0.0,0.0,0.0,0.0,0.0,0.0
824137fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
824147fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82414ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
824157fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
82415ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
