cell_id,Lanius isabellinus,Lanius isabellinus isabellinus,Lanius isabellinus arenarius/tsaidamensis
831590fffffffff,8.0,0.0,0.0
831592fffffffff,1.0,0.0,0.0
831593fffffffff,1.0,0.0,0.0
83200afffffffff,3.0,1.0,0.0
832010fffffffff,3.0,0.0,0.0
832016fffffffff,4.0,0.0,0.0
832018fffffffff,13.0,4.0,0.0
832019fffffffff,8.0,6.0,0.0
83201afffffffff,2.0,0.0,0.0
83201dfffffffff,3.0,3.0,0.0
832036fffffffff,4.0,0.0,0.0
83204afffffffff,5.0,0.0,0.0
832059fffffffff,5.0,0.0,0.0
83205bfffffffff,9.0,0.0,0.0
83205efffffffff,1.0,0.0,0.0
8320b1fffffffff,9.0,0.0,0.0
8320b3fffffffff,14.0,0.0,0.0
8320c0fffffffff,4.0,0.0,0.0
8320c8fffffffff,12.0,0.0,3.0
8320c9fffffffff,9.0,0.0,2.0
8320cdfffffffff,7.0,0.0,4.0
8320e0fffffffff,4.0,0.0,0.0
8320e2fffffffff,2.0,1.0,0.0
8320e3fffffffff,3.0,0.0,0.0
8320e4fffffffff,1.0,1.0,0.0
8320e6fffffffff,4.0,2.0,0.0
8320e9fffffffff,7.0,0.0,0.0
8320eefffffffff,2.0,0.0,0.0
8320f1fffffffff,2.0,0.0,0.0
8320f5fffffffff,1.0,0.0,0.0
8320f6fffffffff,1.0,0.0,0.0
832156fffffffff,1.0,0.0,0.0
83218afffffffff,4.0,0.0,0.0
83218efffffffff,1.0,0.0,0.0
832198fffffffff,11.0,0.0,0.0
83219dfffffffff,2.0,0.0,0.0
83219efffffffff,2.0,0.0,0.0
832400fffffffff,22.0,13.0,0.0
832403fffffffff,34.0,13.0,0.0
832404fffffffff,5.0,4.0,0.0
832405fffffffff,3.0,2.0,0.0
832406fffffffff,1.0,0.0,0.0
83240afffffffff,36.0,11.0,0.0
83240cfffffffff,4.0,0.0,0.0
83240dfffffffff,3.0,1.0,0.0
83240efffffffff,14.0,5.0,0.0
832411fffffffff,1.0,0.0,0.0
83241cfffffffff,2.0,2.0,0.0
83241dfffffffff,4.0,0.0,0.0
832428fffffffff,3.0,1.0,0.0
83242dfffffffff,2.0,0.0,0.0
832431fffffffff,15.0,2.0,0.0
832436fffffffff,2.0,0.0,0.0
832446fffffffff,15.0,0.0,0.0
83244bfffffffff,1.0,0.0,0.0
832450fffffffff,12.0,0.0,0.0
832451fffffffff,4.0,0.0,0.0
832452fffffffff,16.0,0.0,0.0
832456fffffffff,19.0,6.0,0.0
832460fffffffff,16.0,0.0,0.0
832463fffffffff,4.0,0.0,0.0
832466fffffffff,1.0,0.0,0.0
832469fffffffff,3.0,0.0,0.0
83246cfffffffff,1.0,0.0,0.0
832474fffffffff,1.0,0.0,0.0
832476fffffffff,14.0,1.0,0.0
832482fffffffff,16.0,0.0,5.0
832483fffffffff,19.0,0.0,0.0
83248afffffffff,4.0,0.0,0.0
832494fffffffff,10.0,0.0,2.0
83249cfffffffff,3.0,0.0,3.0
83249dfffffffff,9.0,0.0,0.0
8324c6fffffffff,4.0,0.0,0.0
8324d5fffffffff,5.0,0.0,0.0
8324e4fffffffff,2.0,2.0,0.0
832500fffffffff,10.0,0.0,0.0
832502fffffffff,4.0,0.0,0.0
832503fffffffff,6.0,0.0,0.0
832510fffffffff,12.0,0.0,0.0
832511fffffffff,5.0,0.0,0.0
832512fffffffff,59.0,8.0,0.0
832513fffffffff,37.0,5.0,0.0
832514fffffffff,9.0,0.0,0.0
832515fffffffff,5.0,0.0,0.0
832516fffffffff,12.0,0.0,0.0
83251bfffffffff,2.0,0.0,0.0
83251dfffffffff,2.0,0.0,0.0
83251efffffffff,1.0,0.0,0.0
832540fffffffff,8.0,0.0,0.0
83255afffffffff,8.0,2.0,0.0
83256efffffffff,2.0,0.0,0.0
832592fffffffff,2.0,0.0,0.0
832596fffffffff,6.0,0.0,0.0
8325a3fffffffff,4.0,0.0,0.0
8325a4fffffffff,9.0,0.0,0.0
8325aafffffffff,2.0,0.0,0.0
8325acfffffffff,106.0,30.0,0.0
8325adfffffffff,2.0,2.0,0.0
8325aefffffffff,14.0,1.0,0.0
8325b0fffffffff,9.0,0.0,0.0
8325b1fffffffff,2.0,0.0,0.0
832c82fffffffff,1.0,0.0,0.0
832c83fffffffff,44.0,8.0,0.0
832c89fffffffff,2.0,0.0,0.0
832c8dfffffffff,8.0,0.0,0.0
832c8efffffffff,10.0,2.0,0.0
832c90fffffffff,187.0,110.0,0.0
832c91fffffffff,72.0,45.0,0.0
832c93fffffffff,1427.0,886.0,0.0
832c98fffffffff,6.0,3.0,0.0
832c9bfffffffff,2.0,0.0,0.0
832c9cfffffffff,23.0,3.0,0.0
832c9dfffffffff,8.0,0.0,0.0
832c9efffffffff,8.0,8.0,0.0
832ca4fffffffff,13.0,0.0,0.0
832cacfffffffff,6.0,0.0,0.0
832cc0fffffffff,18.0,2.0,0.0
832cc1fffffffff,3.0,0.0,0.0
832cc2fffffffff,15.0,0.0,0.0
832cc3fffffffff,8.0,2.0,0.0
832cc6fffffffff,7.0,3.0,0.0
832ccbfffffffff,9.0,0.0,0.0
832ccefffffffff,1.0,0.0,0.0
832cd4fffffffff,37.0,4.0,0.0
832cd5fffffffff,6.0,0.0,0.0
832cd6fffffffff,2.0,2.0,0.0
832cd9fffffffff,4.0,0.0,0.0
832cdcfffffffff,3.0,0.0,0.0
832cddfffffffff,22.0,0.0,0.0
832cf0fffffffff,21.0,0.0,0.0
832cf1fffffffff,2.0,0.0,0.0
832cf2fffffffff,7.0,0.0,0.0
832cf3fffffffff,143.0,23.0,0.0
832cf5fffffffff,4.0,0.0,0.0
832db0fffffffff,61.0,23.0,0.0
832db6fffffffff,3.0,3.0,0.0
833126fffffffff,4.0,1.0,0.0
833ca2fffffffff,2.0,0.0,0.0
