cell_id,Eurystomus glaucurus,Eurystomus glaucurus [afer Group],Eurystomus glaucurus glaucurus
822db7fffffffff,14.0,0.0,0.0
8254c7fffffffff,1.0,0.0,0.0
826acffffffffff,2.0,0.0,0.0
826adffffffffff,10.0,0.0,0.0
827a47fffffffff,2.0,0.0,0.0
827a67fffffffff,28.0,2.0,0.0
827a6ffffffffff,19.0,3.0,0.0
827b4ffffffffff,135.0,5.0,0.0
829717fffffffff,8.0,8.0,0.0
82972ffffffffff,3.0,3.0,0.0
82979ffffffffff,3.0,3.0,0.0
82a237fffffffff,1.0,0.0,1.0
82a38ffffffffff,4.0,0.0,0.0
82a3affffffffff,2.0,0.0,0.0
82bcd7fffffffff,1.0,1.0,0.0
