cell_id,Phacellodomus rufifrons,Phacellodomus rufifrons [rufifrons Group],Phacellodomus rufifrons specularis
8480141ffffffff,3.0,0.0,0.0
8480269ffffffff,1.0,0.0,0.0
84802cdffffffff,2.0,0.0,0.0
8480301ffffffff,42.0,0.0,0.0
8480305ffffffff,14.0,4.0,0.0
848030dffffffff,9.0,1.0,0.0
848032dffffffff,2.0,0.0,0.0
8480341ffffffff,5.0,0.0,0.0
8480363ffffffff,32.0,4.0,0.0
8480369ffffffff,2.0,0.0,2.0
8481005ffffffff,34.0,0.0,0.0
8481029ffffffff,6.0,0.0,0.0
848102dffffffff,1.0,0.0,0.0
8481063ffffffff,22.0,0.0,0.0
8481099ffffffff,3.0,0.0,0.0
8481101ffffffff,1.0,0.0,0.0
8481105ffffffff,2.0,0.0,0.0
8481109ffffffff,1.0,0.0,0.0
8481143ffffffff,5.0,0.0,0.0
8481149ffffffff,4.0,0.0,0.0
848114bffffffff,3.0,0.0,0.0
8481163ffffffff,12.0,0.0,0.0
8481167ffffffff,2.0,0.0,0.0
84811e1ffffffff,11.0,0.0,0.0
8481211ffffffff,3.0,0.0,0.0
8481219ffffffff,1.0,0.0,0.0
848121dffffffff,1.0,1.0,0.0
8481241ffffffff,5.0,0.0,0.0
8481243ffffffff,3.0,0.0,0.0
8481245ffffffff,15.0,1.0,0.0
848124bffffffff,43.0,0.0,0.0
848124dffffffff,84.0,3.0,0.0
848125bffffffff,1.0,0.0,0.0
848126bffffffff,2.0,0.0,0.0
84812bdffffffff,2.0,0.0,0.0
84812c9ffffffff,2.0,0.0,0.0
84812d7ffffffff,4.0,3.0,0.0
8481301ffffffff,5.0,0.0,0.0
8481303ffffffff,30.0,0.0,0.0
8481307ffffffff,8.0,0.0,0.0
8481309ffffffff,2.0,0.0,0.0
848131dffffffff,1.0,0.0,0.0
8481321ffffffff,2.0,0.0,0.0
8481323ffffffff,9.0,0.0,0.0
8481327ffffffff,11.0,0.0,0.0
8481329ffffffff,2.0,0.0,0.0
8481331ffffffff,11.0,0.0,0.0
8481335ffffffff,1.0,0.0,0.0
8481337ffffffff,1.0,0.0,0.0
8481339ffffffff,297.0,0.0,0.0
848133dffffffff,6.0,0.0,0.0
8481343ffffffff,16.0,0.0,0.0
8481345ffffffff,2.0,0.0,0.0
848134dffffffff,6.0,0.0,0.0
8481363ffffffff,3.0,0.0,0.0
848136bffffffff,2.0,0.0,0.0
8481429ffffffff,1.0,0.0,0.0
8481523ffffffff,1.0,0.0,0.0
8481581ffffffff,2.0,0.0,0.0
848162bffffffff,3.0,0.0,0.0
8481801ffffffff,8.0,0.0,0.0
8481809ffffffff,2.0,0.0,0.0
848180bffffffff,32.0,0.0,0.0
8481811ffffffff,3.0,0.0,3.0
8481815ffffffff,1.0,0.0,0.0
8481819ffffffff,4.0,0.0,0.0
848181dffffffff,19.0,0.0,0.0
8481833ffffffff,4.0,0.0,0.0
8481839ffffffff,19.0,0.0,0.0
8481851ffffffff,34.0,0.0,1.0
8481853ffffffff,2.0,0.0,0.0
8481855ffffffff,10.0,0.0,0.0
8481857ffffffff,237.0,0.0,7.0
848185bffffffff,8.0,0.0,0.0
84818a1ffffffff,1.0,0.0,0.0
84818c3ffffffff,11.0,0.0,0.0
