cell_id,Fraseria ocreata,Fraseria ocreata prosphora/kelsalli,Fraseria ocreata ocreata
8354ccfffffffff,1.0,0.0,0.0
835883fffffffff,1.0,0.0,0.0
836a9efffffffff,2.0,0.0,0.0
836ac1fffffffff,9.0,0.0,0.0
836ac6fffffffff,1.0,0.0,0.0
836adcfffffffff,4.0,0.0,0.0
836aeafffffffff,161.0,0.0,20.0
837501fffffffff,1.0,1.0,0.0
837508fffffffff,112.0,25.0,0.0
837509fffffffff,1.0,0.0,0.0
83750cfffffffff,1.0,0.0,0.0
83750dfffffffff,166.0,36.0,0.0
837519fffffffff,4.0,0.0,0.0
83751dfffffffff,1.0,0.0,0.0
837529fffffffff,125.0,29.0,0.0
83752afffffffff,50.0,11.0,0.0
83752bfffffffff,21.0,13.0,0.0
83752efffffffff,2.0,2.0,0.0
8375a8fffffffff,5.0,0.0,0.0
8375b0fffffffff,1.0,0.0,0.0
8375b1fffffffff,1.0,0.0,0.0
8375b5fffffffff,1.0,0.0,0.0
838212fffffffff,4.0,0.0,0.0
838218fffffffff,3.0,0.0,0.0
838282fffffffff,1.0,0.0,0.0
838284fffffffff,9.0,0.0,2.0
838285fffffffff,3.0,0.0,0.0
838289fffffffff,1.0,0.0,0.0
83828bfffffffff,1.0,0.0,0.0
83828dfffffffff,24.0,0.0,0.0
838290fffffffff,5.0,0.0,0.0
8382a0fffffffff,9.0,0.0,0.0
8382a3fffffffff,6.0,0.0,0.0
8382a5fffffffff,1.0,0.0,0.0
8382a8fffffffff,14.0,0.0,0.0
8382aafffffffff,3.0,0.0,0.0
8382abfffffffff,4.0,0.0,0.0
8382aefffffffff,1.0,0.0,0.0
8382b0fffffffff,1.0,0.0,0.0
83838afffffffff,2.0,0.0,2.0
838392fffffffff,2.0,0.0,0.0
