cell_id,Pyrocephalus rubinus,Pyrocephalus rubinus [mexicanus Group],Pyrocephalus rubinus saturatus,Pyrocephalus rubinus [obscurus Group],Pyrocephalus rubinus rubinus
8226cffffffffff,1.0,0.0,0.0,0.0,0.0
8226d7fffffffff,33.0,0.0,0.0,0.0,0.0
8226dffffffffff,159.0,0.0,0.0,0.0,0.0
822917fffffffff,11.0,0.0,0.0,0.0,0.0
822987fffffffff,1190.0,0.0,0.0,0.0,0.0
82298ffffffffff,31.0,0.0,0.0,0.0,0.0
822997fffffffff,555.0,0.0,0.0,0.0,0.0
8229a7fffffffff,7313.0,0.0,0.0,0.0,0.0
8229affffffffff,239.0,0.0,0.0,0.0,0.0
8229b7fffffffff,5518.0,0.0,0.0,0.0,0.0
824427fffffffff,3.0,0.0,0.0,0.0,0.0
824447fffffffff,1103.0,0.0,0.0,0.0,0.0
82444ffffffffff,40.0,0.0,0.0,0.0,0.0
824457fffffffff,1.0,0.0,0.0,0.0,0.0
824467fffffffff,62.0,0.0,0.0,0.0,0.0
82446ffffffffff,1754.0,0.0,0.0,0.0,0.0
824477fffffffff,226.0,0.0,0.0,0.0,0.0
824507fffffffff,802.0,0.0,0.0,0.0,0.0
82450ffffffffff,2655.0,284.0,0.0,0.0,0.0
82451ffffffffff,38.0,0.0,0.0,0.0,0.0
824527fffffffff,570.0,0.0,0.0,0.0,0.0
82452ffffffffff,10837.0,193.0,0.0,0.0,0.0
824537fffffffff,253.0,0.0,0.0,0.0,0.0
824577fffffffff,851.0,134.0,0.0,0.0,0.0
824807fffffffff,442.0,0.0,0.0,0.0,0.0
82480ffffffffff,1238.0,10.0,0.0,0.0,0.0
824817fffffffff,1214.0,0.0,0.0,0.0,0.0
82481ffffffffff,200.0,0.0,0.0,0.0,0.0
824827fffffffff,138.0,0.0,0.0,0.0,0.0
82482ffffffffff,480.0,0.0,0.0,0.0,0.0
824837fffffffff,5079.0,141.0,0.0,0.0,0.0
824847fffffffff,228.0,0.0,0.0,0.0,0.0
82484ffffffffff,41.0,0.0,0.0,0.0,0.0
824857fffffffff,817.0,4.0,0.0,0.0,0.0
82485ffffffffff,2601.0,12.0,0.0,0.0,0.0
824877fffffffff,450.0,0.0,0.0,0.0,0.0
824887fffffffff,7671.0,0.0,0.0,0.0,0.0
82488ffffffffff,4466.0,0.0,0.0,0.0,0.0
824897fffffffff,4484.0,0.0,0.0,0.0,0.0
82489ffffffffff,7104.0,0.0,0.0,0.0,0.0
8248a7fffffffff,1588.0,0.0,0.0,0.0,0.0
8248affffffffff,2893.0,0.0,0.0,0.0,0.0
8248b7fffffffff,14458.0,8.0,0.0,0.0,0.0
8248c7fffffffff,4469.0,52.0,0.0,0.0,0.0
8248cffffffffff,86.0,8.0,0.0,0.0,0.0
8248d7fffffffff,997.0,0.0,0.0,0.0,0.0
8248dffffffffff,18.0,0.0,0.0,0.0,0.0
8248e7fffffffff,845.0,76.0,0.0,0.0,0.0
8248effffffffff,82259.0,525.0,0.0,0.0,0.0
8248f7fffffffff,2576.0,0.0,0.0,0.0,0.0
824987fffffffff,5173.0,249.0,0.0,0.0,0.0
82498ffffffffff,882.0,10.0,0.0,0.0,0.0
824997fffffffff,12981.0,1295.0,0.0,0.0,0.0
82499ffffffffff,623.0,9.0,0.0,0.0,0.0
8249a7fffffffff,39.0,0.0,0.0,0.0,0.0
8249affffffffff,5006.0,245.0,0.0,0.0,0.0
8249b7fffffffff,1846.0,33.0,0.0,0.0,0.0
825f2ffffffffff,565.0,0.0,0.0,0.0,0.0
825f47fffffffff,23.0,0.0,0.0,0.0,0.0
825f4ffffffffff,2.0,0.0,0.0,0.0,0.0
825f6ffffffffff,7.0,0.0,0.0,0.0,0.0
825f77fffffffff,4.0,0.0,0.0,0.0,0.0
826607fffffffff,65.0,0.0,0.0,0.0,0.0
82660ffffffffff,2043.0,0.0,0.0,28.0,0.0
826617fffffffff,2.0,0.0,0.0,0.0,0.0
82661ffffffffff,3825.0,0.0,0.0,57.0,0.0
826627fffffffff,1822.0,0.0,198.0,0.0,0.0
82662ffffffffff,310.0,0.0,1.0,0.0,0.0
826637fffffffff,44.0,0.0,0.0,0.0,0.0
