cell_id,Contopus pertinax,Contopus pertinax pertinax,Contopus pertinax minor
8429b29ffffffff,13.0,0.0,0.0
8429b2dffffffff,43.0,0.0,0.0
8429b67ffffffff,62.0,0.0,0.0
8445209ffffffff,6.0,0.0,0.0
844520dffffffff,6.0,0.0,0.0
8445241ffffffff,32.0,0.0,0.0
8445243ffffffff,162.0,0.0,0.0
8445245ffffffff,116.0,0.0,0.0
8445247ffffffff,153.0,0.0,0.0
844524bffffffff,96.0,0.0,0.0
8445251ffffffff,18.0,0.0,0.0
8445253ffffffff,37.0,0.0,0.0
8445255ffffffff,22.0,0.0,0.0
8445257ffffffff,3.0,0.0,0.0
844525bffffffff,113.0,10.0,0.0
844525dffffffff,18.0,0.0,0.0
8445261ffffffff,5.0,0.0,0.0
8445267ffffffff,3.0,0.0,0.0
8445269ffffffff,2.0,0.0,0.0
844526bffffffff,42.0,0.0,0.0
844526dffffffff,87.0,0.0,2.0
84452e1ffffffff,89.0,0.0,0.0
84452e5ffffffff,4.0,0.0,0.0
84452edffffffff,22.0,0.0,0.0
8445309ffffffff,5.0,0.0,0.0
844532bffffffff,3.0,0.0,0.0
8445343ffffffff,2.0,0.0,0.0
8445349ffffffff,3.0,0.0,0.0
8445351ffffffff,90.0,0.0,0.0
8445355ffffffff,45.0,0.0,0.0
8445359ffffffff,7.0,0.0,0.0
844535bffffffff,2.0,0.0,0.0
844535dffffffff,1.0,0.0,0.0
8445365ffffffff,2.0,0.0,0.0
8448021ffffffff,1.0,0.0,0.0
844802bffffffff,11.0,0.0,0.0
8448035ffffffff,3.0,3.0,0.0
8448065ffffffff,2.0,0.0,0.0
844806dffffffff,3.0,0.0,0.0
8448097ffffffff,6.0,0.0,0.0
84480a9ffffffff,3.0,0.0,0.0
84480adffffffff,762.0,0.0,0.0
84480e1ffffffff,3.0,0.0,0.0
84480e5ffffffff,1.0,0.0,0.0
8448101ffffffff,2.0,0.0,0.0
844811bffffffff,2.0,0.0,0.0
8448121ffffffff,1.0,0.0,0.0
8448141ffffffff,28.0,0.0,0.0
8448143ffffffff,24.0,0.0,0.0
8448147ffffffff,65.0,0.0,0.0
844814bffffffff,61.0,0.0,0.0
8448155ffffffff,1.0,0.0,0.0
844815bffffffff,38.0,0.0,0.0
844815dffffffff,2.0,0.0,0.0
844816bffffffff,2.0,0.0,0.0
8448193ffffffff,20.0,0.0,0.0
8448195ffffffff,6.0,0.0,0.0
8448197ffffffff,4.0,0.0,0.0
8448199ffffffff,5.0,0.0,0.0
844819dffffffff,19.0,0.0,0.0
84481b5ffffffff,4.0,0.0,0.0
84481c1ffffffff,6.0,0.0,0.0
84481c5ffffffff,2.0,0.0,0.0
84481d5ffffffff,6.0,0.0,0.0
84481d7ffffffff,34.0,0.0,0.0
8448321ffffffff,6.0,0.0,0.0
8448323ffffffff,7.0,0.0,0.0
