cell_id,Agelasticus cyanopus,Agelasticus cyanopus atroolivaceus/unicolor,Agelasticus cyanopus cyanopus
848b2a7ffffffff,4.0,0.0,0.0
84a8101ffffffff,2.0,0.0,0.0
84a85d3ffffffff,5.0,0.0,0.0
84a94e5ffffffff,3.0,0.0,0.0
84a9611ffffffff,4.0,0.0,0.0
84a9613ffffffff,38.0,0.0,0.0
84a9617ffffffff,17.0,0.0,0.0
84a9619ffffffff,5.0,0.0,0.0
84a9653ffffffff,19.0,0.0,0.0
84a96c1ffffffff,2.0,0.0,0.0
84a96e9ffffffff,1.0,0.0,0.0
84b2413ffffffff,2.0,0.0,0.0
84b2499ffffffff,7.0,0.0,0.0
84b249bffffffff,10.0,0.0,0.0
84b249dffffffff,5.0,0.0,0.0
84b24d1ffffffff,10.0,0.0,0.0
84b24d3ffffffff,117.0,0.0,0.0
84b24dbffffffff,46.0,0.0,0.0
84b2681ffffffff,2.0,0.0,0.0
84b2683ffffffff,2.0,0.0,0.0
84b2687ffffffff,1.0,0.0,0.0
84b2689ffffffff,4.0,0.0,0.0
84b268bffffffff,12.0,0.0,0.0
84b2691ffffffff,15.0,0.0,0.0
84b2693ffffffff,22.0,0.0,0.0
84b2695ffffffff,3.0,0.0,0.0
84b2697ffffffff,2.0,0.0,0.0
84b2699ffffffff,1.0,0.0,0.0
84b269bffffffff,11.0,0.0,0.0
84b269dffffffff,14.0,0.0,0.0
84b26b9ffffffff,6.0,0.0,0.0
84b26bdffffffff,3.0,0.0,0.0
84b26d1ffffffff,5.0,0.0,0.0
84b26d3ffffffff,3.0,0.0,0.0
84b26d7ffffffff,30.0,0.0,0.0
84b26ddffffffff,11.0,0.0,0.0
84b275bffffffff,3.0,0.0,0.0
84b3421ffffffff,1.0,0.0,0.0
84b3423ffffffff,9.0,0.0,0.0
84b35cdffffffff,6.0,0.0,0.0
84c2037ffffffff,1.0,0.0,0.0
84c21b1ffffffff,1.0,0.0,0.0
84c21bbffffffff,4.0,0.0,0.0
84c2c91ffffffff,21.0,0.0,0.0
84c2c95ffffffff,4.0,0.0,0.0
84c2c97ffffffff,48.0,0.0,0.0
84c2c99ffffffff,61.0,0.0,0.0
84c2cbbffffffff,3.0,0.0,0.0
84c2cd3ffffffff,199.0,0.0,0.0
84c2e31ffffffff,2.0,0.0,0.0
84c2e33ffffffff,2.0,0.0,0.0
84c2e99ffffffff,2.0,0.0,0.0
84c2eb9ffffffff,4.0,0.0,0.0
