cell_id,Psophia viridis,Psophia viridis viridis,Psophia viridis dextralis,Psophia viridis interjecta,Psophia viridis obscura
848064bffffffff,2.0,0.0,0.0,2.0,0.0
84806e9ffffffff,1.0,0.0,0.0,0.0,0.0
8480745ffffffff,1.0,0.0,0.0,0.0,1.0
8480747ffffffff,3.0,0.0,0.0,0.0,3.0
8481431ffffffff,2.0,0.0,0.0,2.0,0.0
84814a1ffffffff,4.0,0.0,0.0,4.0,0.0
84814a9ffffffff,7.0,0.0,0.0,7.0,0.0
84814adffffffff,1.0,0.0,0.0,0.0,0.0
84814d5ffffffff,6.0,0.0,0.0,3.0,0.0
84814e3ffffffff,9.0,0.0,0.0,5.0,0.0
84814e7ffffffff,32.0,0.0,0.0,28.0,0.0
84815d9ffffffff,1.0,0.0,0.0,1.0,0.0
848a04bffffffff,3.0,0.0,0.0,0.0,0.0
848a109ffffffff,2.0,0.0,0.0,0.0,0.0
848a155ffffffff,10.0,0.0,0.0,0.0,0.0
848a31dffffffff,1.0,0.0,0.0,0.0,0.0
848a337ffffffff,6.0,0.0,0.0,0.0,0.0
848a801ffffffff,1.0,0.0,0.0,0.0,0.0
848a809ffffffff,13.0,0.0,0.0,0.0,0.0
848a80dffffffff,1.0,0.0,1.0,0.0,0.0
848a827ffffffff,1.0,0.0,0.0,0.0,0.0
848a857ffffffff,1.0,0.0,0.0,0.0,0.0
848a911ffffffff,1.0,0.0,1.0,0.0,0.0
848a921ffffffff,1.0,0.0,1.0,0.0,0.0
848a925ffffffff,2.0,0.0,2.0,0.0,0.0
848a92dffffffff,1.0,0.0,1.0,0.0,0.0
848a9cdffffffff,5.0,0.0,5.0,0.0,0.0
848aa29ffffffff,1.0,0.0,0.0,0.0,0.0
848aaa5ffffffff,13.0,0.0,0.0,0.0,0.0
848aaddffffffff,6.0,0.0,0.0,0.0,0.0
848b829ffffffff,1.0,0.0,0.0,0.0,0.0
848b881ffffffff,1.0,0.0,0.0,0.0,0.0
848b895ffffffff,1.0,0.0,0.0,0.0,0.0
848b8e5ffffffff,1.0,0.0,0.0,0.0,0.0
848b999ffffffff,5.0,0.0,5.0,0.0,0.0
848b9d5ffffffff,190.0,0.0,0.0,0.0,0.0
84a8c97ffffffff,1.0,0.0,0.0,0.0,0.0
