cell_id,Dumetia hyperythra,Dumetia hyperythra hyperythra,Dumetia hyperythra albogularis/phillipsi
823c37fffffffff,3.0,0.0,0.0
823c87fffffffff,7.0,0.0,0.0
823c8ffffffffff,10.0,0.0,0.0
823ca7fffffffff,1.0,0.0,0.0
823caffffffffff,28.0,0.0,0.0
823cf7fffffffff,2.0,0.0,0.0
823d17fffffffff,17.0,0.0,0.0
823d87fffffffff,2.0,0.0,0.0
823d8ffffffffff,2.0,0.0,0.0
823daffffffffff,2.0,0.0,0.0
823db7fffffffff,34.0,0.0,0.0
8242cffffffffff,1.0,0.0,0.0
8242dffffffffff,7.0,0.0,0.0
8242effffffffff,5.0,0.0,0.0
826007fffffffff,114.0,0.0,0.0
826017fffffffff,66.0,0.0,0.0
82601ffffffffff,5.0,0.0,0.0
826037fffffffff,977.0,0.0,0.0
826087fffffffff,14.0,0.0,0.0
82608ffffffffff,6.0,0.0,0.0
826097fffffffff,4.0,0.0,0.0
8260affffffffff,47.0,0.0,0.0
8260b7fffffffff,1.0,0.0,0.0
82618ffffffffff,20.0,0.0,0.0
