cell_id,Poecile montanus,Poecile montanus [montanus Group],Poecile montanus [songarus Group]
830999fffffffff,1.0,1.0,0.0
831870fffffffff,2.0,0.0,0.0
831874fffffffff,5.0,0.0,0.0
831909fffffffff,1.0,1.0,0.0
831940fffffffff,1.0,1.0,0.0
831941fffffffff,26.0,4.0,0.0
831942fffffffff,25.0,0.0,0.0
83194afffffffff,2.0,2.0,0.0
83194bfffffffff,2.0,2.0,0.0
83194efffffffff,2.0,2.0,0.0
831951fffffffff,8.0,0.0,0.0
831954fffffffff,8.0,1.0,0.0
83195cfffffffff,9.0,2.0,0.0
83195dfffffffff,5.0,0.0,0.0
831969fffffffff,3.0,0.0,0.0
83196bfffffffff,3.0,0.0,0.0
83196dfffffffff,4.0,0.0,0.0
831e01fffffffff,1.0,1.0,0.0
831e0dfffffffff,3.0,0.0,0.0
831e2afffffffff,2.0,0.0,0.0
831e50fffffffff,1.0,1.0,0.0
831e52fffffffff,7.0,7.0,0.0
831ea4fffffffff,2.0,2.0,0.0
831ec0fffffffff,4.0,0.0,0.0
831ec2fffffffff,6.0,0.0,0.0
831ec3fffffffff,17.0,6.0,0.0
831f14fffffffff,2.0,0.0,0.0
831f31fffffffff,4.0,2.0,0.0
831f35fffffffff,5.0,4.0,0.0
831f71fffffffff,1.0,0.0,0.0
831f82fffffffff,2.0,0.0,0.0
831f83fffffffff,6.0,1.0,0.0
831f8afffffffff,8.0,4.0,0.0
831f8efffffffff,2.0,0.0,0.0
831f9afffffffff,8.0,1.0,0.0
831f9efffffffff,4.0,0.0,0.0
831facfffffffff,1.0,1.0,0.0
831fadfffffffff,2.0,2.0,0.0
831faefffffffff,2.0,0.0,0.0
831fb5fffffffff,2.0,0.0,0.0
8320e6fffffffff,1.0,0.0,1.0
832509fffffffff,1.0,1.0,0.0
83255afffffffff,6.0,0.0,0.0
83255bfffffffff,2.0,2.0,0.0
832e75fffffffff,6.0,0.0,0.0
833142fffffffff,1.0,0.0,0.0
83316efffffffff,1.0,0.0,0.0
833176fffffffff,2.0,2.0,0.0
83396dfffffffff,5.0,0.0,0.0
