cell_id,Agelasticus cyanopus,Agelasticus cyanopus atroolivaceus/unicolor,Agelasticus cyanopus cyanopus
838b2afffffffff,4.0,0.0,0.0
83a810fffffffff,2.0,0.0,0.0
83a85dfffffffff,5.0,0.0,0.0
83a94efffffffff,3.0,0.0,0.0
83a961fffffffff,40.0,0.0,0.0
83a965fffffffff,22.0,0.0,0.0
83a96cfffffffff,26.0,0.0,0.0
83a96efffffffff,1.0,0.0,0.0
83b241fffffffff,2.0,0.0,0.0
83b249fffffffff,22.0,0.0,0.0
83b24dfffffffff,214.0,0.0,0.0
83b268fffffffff,25.0,0.0,0.0
83b269fffffffff,64.0,0.0,0.0
83b26bfffffffff,9.0,0.0,0.0
83b26dfffffffff,46.0,0.0,0.0
83b275fffffffff,3.0,0.0,0.0
83b342fffffffff,10.0,0.0,0.0
83b35cfffffffff,6.0,0.0,0.0
83c203fffffffff,1.0,0.0,0.0
83c21bfffffffff,5.0,0.0,0.0
83c2c9fffffffff,139.0,0.0,0.0
83c2cbfffffffff,3.0,0.0,0.0
83c2cdfffffffff,153.0,0.0,0.0
83c2e3fffffffff,4.0,0.0,0.0
83c2e9fffffffff,2.0,0.0,0.0
83c2ebfffffffff,4.0,0.0,0.0
