cell_id,Eurystomus glaucurus,Eurystomus glaucurus [afer Group],Eurystomus glaucurus glaucurus
84540abffffffff,10.0,0.0,0.0
84540b7ffffffff,2.0,0.0,0.0
8454185ffffffff,3.0,0.0,0.0
8454195ffffffff,1.0,0.0,0.0
84541a3ffffffff,47.0,7.0,0.0
84541a5ffffffff,87.0,21.0,0.0
84541adffffffff,2.0,0.0,0.0
84541b3ffffffff,2.0,0.0,0.0
84541b9ffffffff,145.0,6.0,0.0
84541bbffffffff,1.0,1.0,0.0
84541bdffffffff,19.0,2.0,0.0
8454443ffffffff,4.0,0.0,0.0
8454447ffffffff,5.0,0.0,0.0
8454499ffffffff,1.0,0.0,0.0
8454a93ffffffff,137.0,11.0,0.0
8454a99ffffffff,2.0,0.0,0.0
8454a9bffffffff,260.0,26.0,0.0
8454ac3ffffffff,5.0,0.0,0.0
8454ad5ffffffff,13.0,0.0,0.0
8454addffffffff,12.0,0.0,0.0
8454cc3ffffffff,1.0,0.0,0.0
8454e21ffffffff,3.0,0.0,0.0
8454e25ffffffff,1.0,0.0,0.0
8454e27ffffffff,3.0,0.0,0.0
8454e41ffffffff,64.0,0.0,0.0
8454e43ffffffff,5.0,0.0,0.0
8454e49ffffffff,4.0,0.0,0.0
8454e4bffffffff,8.0,0.0,0.0
8454e4dffffffff,117.0,29.0,0.0
8454e59ffffffff,14.0,0.0,0.0
8454e5bffffffff,11.0,0.0,0.0
8454e5dffffffff,3.0,0.0,0.0
8454e8bffffffff,16.0,0.0,0.0
8454ea9ffffffff,1.0,0.0,0.0
8454eadffffffff,3.0,0.0,0.0
8454f0bffffffff,1.0,0.0,0.0
8454f0dffffffff,1.0,0.0,0.0
8454f1bffffffff,2.0,0.0,0.0
8454f43ffffffff,4.0,2.0,0.0
8454f45ffffffff,7.0,0.0,0.0
8454f47ffffffff,8.0,6.0,0.0
8454f49ffffffff,27.0,7.0,0.0
8454f4dffffffff,30.0,4.0,0.0
8454f51ffffffff,6.0,0.0,0.0
8454f57ffffffff,6.0,0.0,0.0
8454f6bffffffff,11.0,9.0,0.0
8458839ffffffff,1.0,0.0,0.0
8458883ffffffff,4.0,4.0,0.0
8458901ffffffff,3.0,0.0,0.0
845890bffffffff,9.0,0.0,0.0
845890dffffffff,7.0,0.0,0.0
845891dffffffff,5.0,0.0,0.0
8458943ffffffff,3.0,0.0,0.0
845894dffffffff,11.0,0.0,0.0
8458957ffffffff,1.0,0.0,0.0
8458969ffffffff,24.0,1.0,0.0
84589c9ffffffff,4.0,0.0,0.0
8458a65ffffffff,4.0,0.0,0.0
8458a6dffffffff,3.0,0.0,0.0
8458b27ffffffff,2.0,0.0,0.0
8458b51ffffffff,3.0,0.0,0.0
8458b5dffffffff,2.0,0.0,0.0
8458c47ffffffff,2.0,0.0,0.0
8458c4dffffffff,2.0,0.0,0.0
8458c8bffffffff,2.0,0.0,0.0
8458cd9ffffffff,2.0,0.0,0.0
8458f09ffffffff,1.0,0.0,0.0
8458f47ffffffff,2.0,0.0,0.0
