cell_id,Tachyeres pteneres,Tachyeres pteneres [undescribed form]
83ce12fffffffff,10.0,0.0
83ce13fffffffff,1.0,0.0
83ce14fffffffff,3.0,0.0
83ce16fffffffff,4.0,0.0
83ce32fffffffff,2.0,0.0
83ce85fffffffff,12.0,0.0
83cea1fffffffff,55.0,0.0
83cea8fffffffff,961.0,27.0
83ceaafffffffff,14.0,0.0
83ceacfffffffff,640.0,38.0
83ceaefffffffff,884.0,17.0
83cf10fffffffff,21.0,0.0
83cf12fffffffff,26.0,0.0
83cf13fffffffff,11.0,0.0
83cf16fffffffff,53.0,0.0
83cf1efffffffff,2.0,0.0
83cf32fffffffff,42.0,0.0
83cf89fffffffff,5.0,0.0
83cf8bfffffffff,4.0,0.0
83cf8dfffffffff,3.0,0.0
83cfa4fffffffff,5.0,0.0
83cfa9fffffffff,4.0,0.0
83cfabfffffffff,1.0,0.0
83df40fffffffff,12.0,0.0
83df41fffffffff,1.0,0.0
83df42fffffffff,21.0,0.0
83df44fffffffff,11.0,0.0
83df45fffffffff,1164.0,0.0
83df68fffffffff,517.0,0.0
83df69fffffffff,178.0,0.0
83df6afffffffff,3.0,0.0
83df6bfffffffff,6.0,0.0
83df6cfffffffff,33.0,0.0
83df6dfffffffff,244.0,0.0
83df6efffffffff,45.0,0.0
