cell_id,Eurystomus glaucurus,Eurystomus glaucurus [afer Group],Eurystomus glaucurus glaucurus
835408fffffffff,10.0,0.0,0.0
83540bfffffffff,2.0,0.0,0.0
835418fffffffff,3.0,0.0,0.0
83541afffffffff,141.0,29.0,0.0
83541bfffffffff,169.0,9.0,0.0
835440fffffffff,5.0,0.0,0.0
835444fffffffff,4.0,0.0,0.0
835449fffffffff,1.0,0.0,0.0
8354a9fffffffff,398.0,37.0,0.0
8354acfffffffff,2.0,0.0,0.0
8354adfffffffff,30.0,0.0,0.0
8354c5fffffffff,2.0,0.0,0.0
8354ccfffffffff,1.0,0.0,0.0
8354e2fffffffff,7.0,0.0,0.0
8354e4fffffffff,201.0,29.0,0.0
8354e5fffffffff,25.0,0.0,0.0
8354e8fffffffff,16.0,0.0,0.0
8354eafffffffff,1.0,0.0,0.0
8354eefffffffff,1.0,0.0,0.0
8354f0fffffffff,2.0,0.0,0.0
8354f1fffffffff,2.0,0.0,0.0
8354f4fffffffff,67.0,18.0,0.0
8354f5fffffffff,12.0,0.0,0.0
8354f6fffffffff,13.0,9.0,0.0
835882fffffffff,2.0,0.0,0.0
835883fffffffff,1.0,0.0,0.0
835888fffffffff,4.0,4.0,0.0
835890fffffffff,19.0,0.0,0.0
835891fffffffff,5.0,0.0,0.0
835894fffffffff,13.0,0.0,0.0
835895fffffffff,4.0,0.0,0.0
835896fffffffff,27.0,4.0,0.0
83589cfffffffff,2.0,0.0,0.0
8358a6fffffffff,7.0,0.0,0.0
8358b5fffffffff,5.0,0.0,0.0
8358c4fffffffff,4.0,0.0,0.0
8358c8fffffffff,2.0,0.0,0.0
8358cdfffffffff,2.0,0.0,0.0
8358f0fffffffff,1.0,0.0,0.0
8358f4fffffffff,2.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0
835998fffffffff,2.0,2.0,0.0
83599bfffffffff,1.0,0.0,0.0
83599efffffffff,3.0,0.0,0.0
836a49fffffffff,1.0,0.0,0.0
836a5afffffffff,46.0,0.0,0.0
836a65fffffffff,4.0,0.0,0.0
836a9efffffffff,4.0,0.0,0.0
836ac0fffffffff,20.0,0.0,0.0
836ac1fffffffff,38.0,7.0,0.0
836ac3fffffffff,98.0,10.0,0.0
836ac8fffffffff,829.0,116.0,0.0
836ac9fffffffff,24.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0
836accfffffffff,51.0,2.0,0.0
836acdfffffffff,57.0,6.0,0.0
836acefffffffff,551.0,54.0,0.0
836ad8fffffffff,9.0,0.0,0.0
836adcfffffffff,102.0,7.0,0.0
836addfffffffff,95.0,17.0,0.0
836adefffffffff,1.0,0.0,0.0
836ae8fffffffff,91.0,18.0,0.0
836aeafffffffff,281.0,45.0,0.0
836aebfffffffff,84.0,5.0,0.0
836aeefffffffff,42.0,6.0,0.0
836bb6fffffffff,2.0,0.0,0.0
837508fffffffff,13.0,0.0,0.0
83750afffffffff,1.0,0.0,0.0
83750dfffffffff,33.0,0.0,0.0
837518fffffffff,10.0,0.0,0.0
837519fffffffff,3.0,0.0,0.0
837520fffffffff,195.0,14.0,0.0
837529fffffffff,70.0,5.0,0.0
83752afffffffff,26.0,4.0,0.0
83752bfffffffff,8.0,1.0,0.0
83752dfffffffff,7.0,0.0,0.0
83752efffffffff,4.0,0.0,0.0
837536fffffffff,13.0,0.0,0.0
837574fffffffff,6.0,0.0,0.0
837576fffffffff,36.0,0.0,0.0
837586fffffffff,2.0,0.0,0.0
8375a0fffffffff,2.0,0.0,0.0
8375a8fffffffff,1.0,0.0,0.0
8375b0fffffffff,7.0,0.0,0.0
837a40fffffffff,7.0,0.0,0.0
837a41fffffffff,1.0,0.0,0.0
837a45fffffffff,9.0,0.0,0.0
837a48fffffffff,22.0,0.0,0.0
837a49fffffffff,1.0,1.0,0.0
837a4cfffffffff,10.0,0.0,0.0
837a4dfffffffff,20.0,0.0,0.0
837a60fffffffff,10.0,0.0,0.0
837a65fffffffff,3.0,0.0,0.0
837a68fffffffff,6.0,0.0,0.0
837a6afffffffff,43.0,0.0,0.0
837a6bfffffffff,71.0,0.0,0.0
837a6dfffffffff,17.0,0.0,0.0
837a6efffffffff,1.0,0.0,0.0
837a75fffffffff,2.0,0.0,0.0
837ac8fffffffff,28.0,4.0,0.0
837accfffffffff,1.0,0.0,0.0
837acdfffffffff,4.0,0.0,0.0
837ad9fffffffff,2.0,0.0,0.0
837ae8fffffffff,3.0,0.0,0.0
837ae9fffffffff,5.0,2.0,0.0
837b48fffffffff,14.0,0.0,0.0
837b4afffffffff,18.0,0.0,0.0
837b4bfffffffff,4.0,0.0,0.0
837b4cfffffffff,4.0,1.0,0.0
837b4dfffffffff,4.0,0.0,0.0
837b4efffffffff,1.0,0.0,0.0
837b59fffffffff,28.0,0.0,0.0
837b5bfffffffff,2.0,0.0,0.0
837b68fffffffff,2.0,0.0,0.0
837b6afffffffff,6.0,0.0,0.0
837b6bfffffffff,50.0,0.0,0.0
838212fffffffff,2.0,0.0,0.0
838218fffffffff,1.0,0.0,0.0
83821bfffffffff,3.0,0.0,0.0
83828dfffffffff,5.0,0.0,0.0
