cell_id,Malacoptila striata,Malacoptila striata minor,Malacoptila striata striata
838005fffffffff,12.0,4.0,0.0
83800cfffffffff,5.0,4.0,0.0
83802bfffffffff,3.0,3.0,0.0
838130fffffffff,4.0,0.0,0.0
838132fffffffff,11.0,0.0,1.0
838133fffffffff,123.0,0.0,16.0
838134fffffffff,20.0,0.0,0.0
838136fffffffff,105.0,0.0,3.0
83a596fffffffff,11.0,0.0,1.0
83a800fffffffff,6.0,0.0,2.0
83a801fffffffff,3.0,0.0,3.0
83a802fffffffff,14.0,0.0,5.0
83a803fffffffff,1.0,0.0,0.0
83a804fffffffff,2.0,0.0,0.0
83a805fffffffff,3.0,0.0,0.0
83a806fffffffff,97.0,0.0,18.0
83a80cfffffffff,7.0,0.0,1.0
83a810fffffffff,548.0,0.0,71.0
83a811fffffffff,52.0,0.0,14.0
83a812fffffffff,176.0,0.0,34.0
83a813fffffffff,72.0,0.0,15.0
83a814fffffffff,47.0,0.0,7.0
83a815fffffffff,279.0,0.0,67.0
83a818fffffffff,19.0,0.0,4.0
83a81cfffffffff,134.0,0.0,20.0
83a81dfffffffff,4.0,0.0,0.0
83a81efffffffff,155.0,0.0,4.0
83a826fffffffff,2.0,0.0,0.0
83a831fffffffff,58.0,0.0,5.0
83a833fffffffff,39.0,0.0,4.0
83a835fffffffff,80.0,0.0,7.0
83a880fffffffff,9.0,0.0,0.0
83a881fffffffff,50.0,0.0,18.0
83a882fffffffff,75.0,0.0,8.0
83a883fffffffff,5.0,0.0,0.0
83a884fffffffff,77.0,0.0,3.0
83a886fffffffff,32.0,0.0,14.0
83a891fffffffff,51.0,0.0,18.0
83a895fffffffff,20.0,0.0,3.0
83a8a0fffffffff,34.0,0.0,7.0
83a8a1fffffffff,29.0,0.0,0.0
83a8a2fffffffff,186.0,0.0,23.0
83a8a3fffffffff,78.0,0.0,18.0
83a8a5fffffffff,1.0,0.0,0.0
83a8a8fffffffff,8.0,0.0,0.0
83a8a9fffffffff,6.0,0.0,0.0
83a8aafffffffff,16.0,0.0,9.0
83a8abfffffffff,2.0,0.0,2.0
83a8acfffffffff,10.0,0.0,3.0
83a8adfffffffff,4.0,0.0,0.0
83a8aefffffffff,9.0,0.0,5.0
83a91bfffffffff,39.0,0.0,6.0
