cell_id,Emberiza cioides,Emberiza cioides [cioides Group],Emberiza cioides ciopsis
8419415ffffffff,1.0,0.0,0.0
8420f51ffffffff,2.0,0.0,0.0
8420f5dffffffff,4.0,0.0,0.0
842428bffffffff,5.0,0.0,0.0
842460dffffffff,2.0,0.0,0.0
8424615ffffffff,2.0,0.0,0.0
842512bffffffff,3.0,1.0,0.0
84255a7ffffffff,11.0,0.0,0.0
84255abffffffff,2.0,0.0,0.0
8425ac9ffffffff,12.0,11.0,0.0
842f5a1ffffffff,1.0,0.0,1.0
84309b3ffffffff,13.0,0.0,0.0
84309d9ffffffff,4.0,0.0,0.0
8431267ffffffff,7.0,0.0,0.0
8431347ffffffff,2.0,0.0,0.0
8431abdffffffff,2.0,0.0,0.0
8441921ffffffff,1.0,0.0,0.0
8441b5dffffffff,1.0,0.0,0.0
844b759ffffffff,3.0,0.0,0.0
844bb59ffffffff,1.0,0.0,0.0
