cell_id,Puffinus assimilis,Puffinus assimilis assimilis,Puffinus assimilis haurakiensis,Puffinus assimilis kermadecensis,Puffinus assimilis tunneyi
82b917fffffffff,1.0,0.0,0.0,0.0,0.0
82ba6ffffffffff,2.0,1.0,0.0,0.0,0.0
82baaffffffffff,1.0,0.0,0.0,1.0,0.0
82bb0ffffffffff,9.0,0.0,3.0,0.0,0.0
82bb2ffffffffff,6.0,1.0,0.0,0.0,0.0
82bb4ffffffffff,1.0,0.0,0.0,0.0,0.0
82bb57fffffffff,49.0,5.0,3.0,0.0,0.0
82bb5ffffffffff,5.0,4.0,1.0,0.0,0.0
82bd27fffffffff,9.0,0.0,0.0,0.0,0.0
82bd67fffffffff,4.0,0.0,0.0,0.0,0.0
82bd77fffffffff,1.0,0.0,0.0,1.0,0.0
82be0ffffffffff,5.0,0.0,0.0,0.0,0.0
82be2ffffffffff,7.0,0.0,0.0,0.0,0.0
82be6ffffffffff,2.0,0.0,0.0,0.0,0.0
82be8ffffffffff,5.0,0.0,0.0,0.0,0.0
82beaffffffffff,12.0,9.0,0.0,0.0,0.0
82bf47fffffffff,10.0,0.0,0.0,0.0,0.0
82bf6ffffffffff,44.0,11.0,0.0,0.0,0.0
82bfa7fffffffff,1.0,1.0,0.0,0.0,0.0
82c987fffffffff,34.0,0.0,0.0,0.0,13.0
82d68ffffffffff,2.0,0.0,0.0,0.0,0.0
82d6affffffffff,1.0,0.0,0.0,0.0,0.0
82d6dffffffffff,40.0,0.0,0.0,0.0,0.0
82da87fffffffff,1.0,0.0,0.0,0.0,0.0
82daa7fffffffff,2.0,0.0,0.0,0.0,0.0
82daaffffffffff,1.0,0.0,0.0,0.0,0.0
