cell_id,Zosterops kaffensis,Zosterops kaffensis kaffensis,Zosterops kaffensis kulalensis
8452915ffffffff,4.0,4.0,0.0
845291bffffffff,6.0,6.0,0.0
84529a7ffffffff,1.0,0.0,0.0
84529b5ffffffff,1.0,1.0,0.0
84529b7ffffffff,3.0,3.0,0.0
84529e1ffffffff,2.0,2.0,0.0
84529edffffffff,3.0,3.0,0.0
846a41bffffffff,1.0,0.0,0.0
846a4a9ffffffff,1.0,1.0,0.0
846a4c3ffffffff,2.0,0.0,0.0
846a4c9ffffffff,1.0,1.0,0.0
846a4cbffffffff,2.0,0.0,0.0
846a4d9ffffffff,1.0,0.0,0.0
846a68bffffffff,4.0,3.0,0.0
846a697ffffffff,3.0,1.0,0.0
846a69bffffffff,2.0,0.0,0.0
846a6a9ffffffff,1.0,1.0,0.0
846a6b1ffffffff,10.0,1.0,0.0
846a6b5ffffffff,1.0,1.0,0.0
846a6c7ffffffff,1.0,0.0,0.0
846a6d5ffffffff,1.0,0.0,0.0
846a6d7ffffffff,2.0,0.0,0.0
847ac97ffffffff,4.0,0.0,0.0
847acb3ffffffff,7.0,0.0,0.0
