cell_id,Menelikornis leucotis,Menelikornis leucotis leucotis,Menelikornis leucotis donaldsoni
835280fffffffff,1.0,0.0,0.0
835282fffffffff,4.0,0.0,0.0
835286fffffffff,7.0,0.0,0.0
835291fffffffff,8.0,0.0,0.0
83529bfffffffff,77.0,0.0,0.0
836a49fffffffff,2.0,0.0,0.0
836a4bfffffffff,1.0,0.0,0.0
836a4cfffffffff,1.0,0.0,0.0
836a61fffffffff,5.0,0.0,0.0
836a69fffffffff,7.0,0.0,0.0
837ac1fffffffff,4.0,0.0,0.0
837ac8fffffffff,147.0,0.0,0.0
837ac9fffffffff,4.0,0.0,0.0
837acafffffffff,3.0,0.0,0.0
837acbfffffffff,23.0,0.0,0.0
837accfffffffff,122.0,0.0,0.0
837acdfffffffff,110.0,0.0,0.0
837acefffffffff,2.0,0.0,0.0
837ad9fffffffff,6.0,0.0,0.0
837ae8fffffffff,5.0,0.0,0.0
837ae9fffffffff,9.0,0.0,0.0
837aeafffffffff,3.0,0.0,0.0
837aebfffffffff,5.0,0.0,0.0
