cell_id,Dicaeum hirundinaceum,Dicaeum hirundinaceum hirundinaceum,Dicaeum hirundinaceum ignicolle
84945c3ffffffff,1.0,0.0,0.0
84945c7ffffffff,2.0,0.0,0.0
84945e3ffffffff,2.0,0.0,0.0
849c23bffffffff,2.0,2.0,0.0
84a726dffffffff,1.0,0.0,0.0
84be085ffffffff,3.0,0.0,0.0
84be089ffffffff,9.0,0.0,0.0
84be08dffffffff,4.0,0.0,0.0
84be0a9ffffffff,1.0,0.0,0.0
84be447ffffffff,1.0,0.0,0.0
84be4a1ffffffff,2.0,0.0,0.0
84be5d3ffffffff,2.0,0.0,0.0
84be607ffffffff,2.0,0.0,0.0
84be623ffffffff,2.0,0.0,0.0
84be631ffffffff,2.0,0.0,0.0
84be635ffffffff,4.0,0.0,0.0
84be63dffffffff,3.0,0.0,0.0
84be6adffffffff,4.0,0.0,0.0
84be725ffffffff,4.0,0.0,0.0
84be72dffffffff,11.0,0.0,0.0
84be8d1ffffffff,7.0,0.0,0.0
84be8d9ffffffff,15.0,0.0,0.0
84beabbffffffff,1.0,0.0,0.0
84c9955ffffffff,1.0,0.0,0.0
84c9b33ffffffff,2.0,0.0,0.0
