cell_id,Anaplectes rubriceps,Anaplectes rubriceps leuconotos,Anaplectes rubriceps rubriceps
825287fffffffff,4.0,0.0,0.0
8254e7fffffffff,3.0,2.0,0.0
825897fffffffff,2.0,0.0,0.0
8258b7fffffffff,1.0,0.0,0.0
8258e7fffffffff,6.0,0.0,0.0
826a4ffffffffff,9.0,0.0,0.0
826a5ffffffffff,25.0,0.0,0.0
826a6ffffffffff,1.0,0.0,0.0
826ac7fffffffff,43.0,0.0,0.0
826acffffffffff,254.0,0.0,0.0
826adffffffffff,84.0,0.0,0.0
826aeffffffffff,86.0,1.0,0.0
827527fffffffff,118.0,26.0,0.0
82752ffffffffff,2.0,0.0,0.0
827537fffffffff,2.0,0.0,0.0
827a47fffffffff,303.0,1.0,0.0
827a4ffffffffff,198.0,2.0,0.0
827a57fffffffff,4.0,0.0,0.0
827a5ffffffffff,9.0,0.0,0.0
827a67fffffffff,169.0,5.0,0.0
827a6ffffffffff,592.0,0.0,0.0
827ac7fffffffff,9.0,0.0,0.0
827acffffffffff,163.0,0.0,0.0
827adffffffffff,24.0,0.0,0.0
827aeffffffffff,102.0,0.0,0.0
827b4ffffffffff,13.0,0.0,0.0
827b5ffffffffff,3.0,0.0,0.0
827b6ffffffffff,7.0,0.0,0.0
828307fffffffff,1.0,0.0,0.0
828317fffffffff,1.0,0.0,0.0
828327fffffffff,3.0,0.0,0.0
828337fffffffff,1.0,0.0,0.0
8283a7fffffffff,2.0,0.0,0.0
829607fffffffff,29.0,0.0,6.0
82960ffffffffff,16.0,0.0,2.0
829617fffffffff,10.0,0.0,4.0
829627fffffffff,89.0,0.0,0.0
82962ffffffffff,32.0,0.0,14.0
829637fffffffff,23.0,0.0,0.0
829687fffffffff,4.0,0.0,0.0
829697fffffffff,488.0,3.0,0.0
82969ffffffffff,1.0,0.0,0.0
8296a7fffffffff,30.0,0.0,0.0
8296affffffffff,7.0,0.0,0.0
8296b7fffffffff,130.0,0.0,0.0
829707fffffffff,17.0,0.0,0.0
82970ffffffffff,25.0,0.0,0.0
829717fffffffff,121.0,0.0,0.0
82971ffffffffff,63.0,0.0,0.0
829727fffffffff,12.0,0.0,0.0
82972ffffffffff,311.0,0.0,60.0
829737fffffffff,7.0,0.0,0.0
829747fffffffff,88.0,0.0,1.0
82974ffffffffff,97.0,0.0,11.0
829757fffffffff,141.0,0.0,23.0
82975ffffffffff,109.0,0.0,5.0
829777fffffffff,13.0,0.0,0.0
82978ffffffffff,2.0,0.0,0.0
8297affffffffff,17.0,0.0,0.0
82ac87fffffffff,43.0,0.0,0.0
82ac8ffffffffff,12.0,0.0,0.0
82ac97fffffffff,21.0,0.0,0.0
82acaffffffffff,6.0,0.0,0.0
82acb7fffffffff,10.0,0.0,0.0
82bc9ffffffffff,5.0,0.0,0.0
82bcc7fffffffff,1.0,0.0,1.0
82bccffffffffff,4.0,0.0,0.0
82bcd7fffffffff,611.0,0.0,91.0
82bcdffffffffff,84.0,0.0,23.0
