cell_id,Myiothlypis rivularis,Myiothlypis rivularis mesoleuca,Myiothlypis rivularis boliviana,Myiothlypis rivularis rivularis
825f07fffffffff,17.0,0.0,0.0,0.0
825f0ffffffffff,1.0,0.0,0.0,0.0
825f17fffffffff,15.0,0.0,0.0,0.0
825f1ffffffffff,9.0,0.0,0.0,0.0
825f2ffffffffff,14.0,0.0,0.0,0.0
825f47fffffffff,16.0,0.0,0.0,0.0
825f4ffffffffff,3.0,0.0,0.0,0.0
825f57fffffffff,33.0,0.0,0.0,0.0
825f6ffffffffff,5.0,0.0,0.0,0.0
825f77fffffffff,48.0,0.0,0.0,0.0
82666ffffffffff,2.0,0.0,0.0,0.0
828047fffffffff,142.0,136.0,0.0,0.0
82804ffffffffff,1.0,0.0,0.0,0.0
828067fffffffff,14.0,14.0,0.0,0.0
828107fffffffff,1.0,0.0,0.0,0.0
828127fffffffff,2.0,0.0,0.0,0.0
828137fffffffff,38.0,0.0,0.0,12.0
82814ffffffffff,79.0,18.0,0.0,0.0
828a07fffffffff,1.0,1.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0,0.0
828a6ffffffffff,1.0,0.0,0.0,0.0
828a9ffffffffff,1.0,1.0,0.0,0.0
828adffffffffff,25.0,17.0,0.0,0.0
828af7fffffffff,58.0,17.0,0.0,0.0
828b27fffffffff,61.0,0.0,0.0,0.0
828b2ffffffffff,54.0,0.0,0.0,0.0
828b77fffffffff,14.0,0.0,0.0,0.0
828b9ffffffffff,1.0,0.0,0.0,0.0
82a807fffffffff,321.0,0.0,0.0,105.0
82a817fffffffff,2161.0,0.0,0.0,551.0
82a82ffffffffff,6.0,0.0,0.0,0.0
82a837fffffffff,674.0,0.0,0.0,284.0
82a867fffffffff,4.0,0.0,0.0,0.0
82a8a7fffffffff,678.0,0.0,0.0,184.0
82a8affffffffff,2.0,0.0,0.0,0.0
82a91ffffffffff,24.0,0.0,0.0,11.0
82a947fffffffff,1.0,0.0,0.0,0.0
82a957fffffffff,920.0,0.0,0.0,0.0
82a95ffffffffff,37.0,0.0,0.0,0.0
82b327fffffffff,5.0,0.0,0.0,0.0
