cell_id,Driophlox fuscicauda,Driophlox fuscicauda [salvini Group],Driophlox fuscicauda [fuscicauda Group]
834508fffffffff,3.0,0.0,0.0
834509fffffffff,2.0,2.0,0.0
83450afffffffff,2.0,2.0,0.0
834520fffffffff,1.0,0.0,0.0
834521fffffffff,3.0,3.0,0.0
834525fffffffff,20.0,2.0,0.0
834526fffffffff,1.0,1.0,0.0
834528fffffffff,2.0,0.0,0.0
83452afffffffff,9.0,9.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,27.0,11.0,0.0
834990fffffffff,20.0,2.0,0.0
834996fffffffff,4.0,0.0,0.0
83499cfffffffff,3.0,0.0,0.0
836631fffffffff,4.0,0.0,0.0
8366b4fffffffff,6.0,0.0,5.0
8366b5fffffffff,5.0,0.0,0.0
83679afffffffff,9.0,0.0,4.0
836d21fffffffff,4.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d23fffffffff,3.0,0.0,0.0
836d2cfffffffff,5.0,0.0,0.0
836d30fffffffff,10.0,2.0,0.0
836d31fffffffff,2.0,0.0,0.0
836d34fffffffff,8.0,0.0,0.0
836d35fffffffff,3.0,0.0,0.0
836d36fffffffff,4.0,0.0,0.0
836d60fffffffff,9.0,0.0,0.0
836d61fffffffff,81.0,0.0,0.0
836d64fffffffff,1.0,0.0,0.0
836d66fffffffff,23.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0
836d69fffffffff,32.0,0.0,6.0
