cell_id,Picumnus squamulatus,Picumnus squamulatus [squamulatus Group],Picumnus squamulatus obsoletus
845f437ffffffff,2.0,0.0,2.0
845f483ffffffff,3.0,0.0,0.0
845f487ffffffff,8.0,0.0,0.0
845f4a3ffffffff,10.0,0.0,9.0
845f4a7ffffffff,1.0,0.0,1.0
845f4a9ffffffff,19.0,0.0,19.0
845f4abffffffff,16.0,0.0,3.0
845f4b9ffffffff,2.0,0.0,0.0
845f4bdffffffff,7.0,0.0,1.0
845f4e5ffffffff,5.0,0.0,5.0
8466091ffffffff,7.0,0.0,0.0
8466093ffffffff,7.0,0.0,0.0
8466097ffffffff,48.0,0.0,0.0
8466099ffffffff,5.0,0.0,0.0
846609bffffffff,7.0,0.0,0.0
84660b3ffffffff,22.0,0.0,0.0
84660b7ffffffff,8.0,0.0,0.0
84660bbffffffff,5.0,0.0,0.0
84660c1ffffffff,5.0,0.0,0.0
84660cbffffffff,62.0,0.0,0.0
84660d1ffffffff,36.0,0.0,0.0
84660d3ffffffff,3.0,0.0,0.0
84660d9ffffffff,6.0,0.0,0.0
84660dbffffffff,3.0,0.0,0.0
84660ddffffffff,7.0,0.0,0.0
8466201ffffffff,1.0,0.0,0.0
8466203ffffffff,8.0,0.0,0.0
8466205ffffffff,3.0,0.0,0.0
8466211ffffffff,2.0,0.0,0.0
8466213ffffffff,17.0,0.0,0.0
8466217ffffffff,42.0,0.0,0.0
8466219ffffffff,6.0,0.0,0.0
846621bffffffff,3.0,0.0,0.0
846622bffffffff,867.0,29.0,0.0
8466231ffffffff,2.0,0.0,0.0
846623dffffffff,8.0,0.0,0.0
8466293ffffffff,8.0,0.0,0.0
8466297ffffffff,3.0,0.0,0.0
846629bffffffff,4.0,0.0,0.0
846629dffffffff,8.0,0.0,0.0
84662b5ffffffff,18.0,0.0,0.0
84662b7ffffffff,26.0,0.0,0.0
84662bdffffffff,2.0,0.0,0.0
84662d3ffffffff,30.0,0.0,0.0
84662e1ffffffff,1.0,0.0,0.0
84662e5ffffffff,13.0,0.0,0.0
84662e9ffffffff,3.0,0.0,0.0
84662edffffffff,2.0,0.0,0.0
8466505ffffffff,8.0,0.0,0.0
8466507ffffffff,1.0,0.0,0.0
8466509ffffffff,9.0,0.0,0.0
8466521ffffffff,2.0,0.0,0.0
8466527ffffffff,4.0,0.0,0.0
8466529ffffffff,103.0,0.0,0.0
846652dffffffff,106.0,0.0,0.0
8466545ffffffff,81.0,0.0,0.0
8466547ffffffff,6.0,0.0,0.0
8466549ffffffff,8.0,0.0,0.0
846654bffffffff,27.0,0.0,0.0
846654dffffffff,4.0,0.0,0.0
8466561ffffffff,4.0,0.0,0.0
8466563ffffffff,6.0,0.0,0.0
8466565ffffffff,83.0,0.0,0.0
8466569ffffffff,20.0,0.0,0.0
846656bffffffff,7.0,0.0,0.0
846656dffffffff,179.0,0.0,0.0
8466641ffffffff,4.0,0.0,0.0
8466645ffffffff,4.0,0.0,0.0
8466647ffffffff,13.0,0.0,0.0
846664dffffffff,3.0,0.0,0.0
8466707ffffffff,2.0,0.0,0.0
846670dffffffff,19.0,0.0,0.0
8466723ffffffff,4.0,0.0,0.0
8466725ffffffff,5.0,0.0,0.0
8466727ffffffff,158.0,0.0,0.0
8466729ffffffff,8.0,0.0,0.0
8466735ffffffff,18.0,0.0,0.0
8466737ffffffff,3.0,0.0,0.0
846674bffffffff,3.0,0.0,0.0
846675dffffffff,38.0,0.0,0.0
8466763ffffffff,25.0,0.0,0.0
8466767ffffffff,1.0,0.0,0.0
846676dffffffff,3.0,0.0,0.0
8466c01ffffffff,10.0,0.0,0.0
8466c05ffffffff,4.0,0.0,0.0
8466c0dffffffff,184.0,0.0,0.0
