cell_id,Cinnyris sovimanga,Cinnyris sovimanga aldabrensis,Cinnyris sovimanga sovimanga,Cinnyris sovimanga apolis,Cinnyris sovimanga abbotti/buchenorum
847b2d3ffffffff,1.0,1.0,0.0,0.0,0.0
84a2143ffffffff,2.0,0.0,0.0,0.0,0.0
84a2235ffffffff,6.0,0.0,6.0,0.0,0.0
84a2353ffffffff,1.0,0.0,1.0,0.0,0.0
84a2357ffffffff,2.0,0.0,2.0,0.0,0.0
84a2a49ffffffff,6.0,0.0,0.0,6.0,0.0
84a3567ffffffff,1.0,0.0,1.0,0.0,0.0
84a38b7ffffffff,4.0,0.0,0.0,4.0,0.0
84a399bffffffff,5.0,0.0,0.0,5.0,0.0
84a3ab7ffffffff,4.0,0.0,4.0,0.0,0.0
