cell_id,Gulosus aristotelis,Gulosus aristotelis aristotelis,Gulosus aristotelis desmarestii,Gulosus aristotelis riggenbachi
820137fffffffff,1.0,0.0,0.0,0.0
820757fffffffff,2.0,2.0,0.0,0.0
82075ffffffffff,12.0,2.0,0.0,0.0
820777fffffffff,1.0,1.0,0.0,0.0
82099ffffffffff,6.0,0.0,0.0,0.0
821807fffffffff,7.0,3.0,0.0,0.0
82182ffffffffff,11.0,0.0,0.0,0.0
821847fffffffff,2.0,0.0,0.0,0.0
82184ffffffffff,34.0,0.0,0.0,0.0
82185ffffffffff,79.0,8.0,1.0,0.0
821867fffffffff,4.0,0.0,0.0,0.0
821877fffffffff,5.0,1.0,0.0,0.0
821907fffffffff,3.0,0.0,0.0,0.0
82190ffffffffff,4.0,0.0,0.0,0.0
821947fffffffff,35.0,6.0,0.0,0.0
82194ffffffffff,15.0,2.0,0.0,0.0
821957fffffffff,2.0,0.0,0.0,0.0
82195ffffffffff,17.0,2.0,0.0,0.0
821e17fffffffff,2.0,0.0,1.0,0.0
821e9ffffffffff,1.0,0.0,0.0,0.0
821ea7fffffffff,6.0,0.0,1.0,0.0
821ec7fffffffff,1.0,0.0,1.0,0.0
821ecffffffffff,9.0,0.0,0.0,0.0
821ed7fffffffff,1.0,0.0,0.0,0.0
821eeffffffffff,2.0,0.0,0.0,0.0
821f27fffffffff,8.0,1.0,0.0,0.0
821f2ffffffffff,1.0,0.0,0.0,0.0
821f37fffffffff,2.0,0.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0,0.0
821fa7fffffffff,8.0,0.0,0.0,0.0
821fb7fffffffff,2.0,0.0,0.0,0.0
822d1ffffffffff,4.0,0.0,4.0,0.0
822da7fffffffff,2.0,0.0,0.0,0.0
822db7fffffffff,29.0,0.0,8.0,0.0
823827fffffffff,19.0,0.0,4.0,0.0
82386ffffffffff,1.0,0.0,1.0,0.0
823917fffffffff,51.0,5.0,0.0,0.0
82391ffffffffff,47.0,0.0,15.0,0.0
823927fffffffff,50.0,0.0,0.0,0.0
823937fffffffff,53.0,1.0,0.0,0.0
823947fffffffff,28.0,0.0,27.0,0.0
823957fffffffff,42.0,0.0,21.0,0.0
82395ffffffffff,57.0,0.0,53.0,0.0
82396ffffffffff,2.0,0.0,0.0,0.0
823997fffffffff,2.0,0.0,0.0,2.0
823f4ffffffffff,5.0,0.0,5.0,0.0
