cell_id,Hydrobates leucorhous,Hydrobates leucorhous leucorhous,Hydrobates leucorhous chapmani
830743fffffffff,1.0,0.0,0.0
83074efffffffff,15.0,0.0,0.0
8309a6fffffffff,2.0,0.0,0.0
830c41fffffffff,2.0,0.0,0.0
830c42fffffffff,25.0,0.0,0.0
830c43fffffffff,3.0,0.0,0.0
830c44fffffffff,2.0,0.0,0.0
830c4cfffffffff,4.0,0.0,0.0
830c5afffffffff,3.0,0.0,0.0
830c5bfffffffff,6.0,0.0,0.0
830c5dfffffffff,1.0,0.0,0.0
830c5efffffffff,2.0,0.0,0.0
830c6afffffffff,4.0,0.0,0.0
830c6bfffffffff,3.0,0.0,0.0
830cc8fffffffff,1.0,0.0,0.0
830cccfffffffff,1.0,0.0,0.0
830ccefffffffff,2.0,0.0,0.0
830cd8fffffffff,2.0,0.0,0.0
830cd9fffffffff,2.0,0.0,0.0
830cddfffffffff,1.0,0.0,0.0
830ce8fffffffff,3.0,0.0,0.0
830ce9fffffffff,3.0,0.0,0.0
830cebfffffffff,3.0,0.0,0.0
830cedfffffffff,2.0,0.0,0.0
830e4dfffffffff,1.0,0.0,0.0
831290fffffffff,5.0,0.0,0.0
831291fffffffff,2.0,0.0,0.0
831292fffffffff,2.0,0.0,0.0
831293fffffffff,8.0,0.0,0.0
831294fffffffff,5.0,0.0,0.0
831295fffffffff,6.0,0.0,0.0
831296fffffffff,3.0,0.0,0.0
831298fffffffff,11.0,0.0,0.0
831299fffffffff,1.0,0.0,0.0
83129afffffffff,23.0,4.0,0.0
83129bfffffffff,31.0,4.0,0.0
83129efffffffff,25.0,0.0,0.0
8312b6fffffffff,3.0,0.0,0.0
831610fffffffff,2.0,0.0,0.0
831611fffffffff,8.0,0.0,0.0
831615fffffffff,7.0,0.0,0.0
831621fffffffff,10.0,0.0,0.0
831650fffffffff,9.0,0.0,0.0
831653fffffffff,11.0,0.0,0.0
831658fffffffff,30.0,0.0,0.0
83165efffffffff,120.0,0.0,0.0
8316b5fffffffff,6.0,0.0,0.0
831752fffffffff,15.0,0.0,0.0
831801fffffffff,1.0,0.0,0.0
831805fffffffff,79.0,0.0,0.0
831840fffffffff,1.0,0.0,0.0
831844fffffffff,2.0,0.0,0.0
831845fffffffff,11.0,0.0,0.0
831846fffffffff,2.0,0.0,0.0
831849fffffffff,69.0,0.0,0.0
83184bfffffffff,60.0,0.0,0.0
83184dfffffffff,2.0,0.0,0.0
83186afffffffff,2.0,0.0,0.0
831870fffffffff,5.0,0.0,0.0
831873fffffffff,2.0,0.0,0.0
831876fffffffff,10.0,0.0,0.0
831909fffffffff,4.0,0.0,0.0
831940fffffffff,8.0,0.0,0.0
831941fffffffff,7.0,0.0,0.0
831946fffffffff,1.0,0.0,0.0
831948fffffffff,10.0,5.0,0.0
83194dfffffffff,3.0,0.0,0.0
83194efffffffff,1.0,0.0,0.0
831951fffffffff,4.0,0.0,0.0
831968fffffffff,3.0,0.0,0.0
83196bfffffffff,3.0,0.0,0.0
83196dfffffffff,4.0,0.0,0.0
831a10fffffffff,1.0,0.0,0.0
831a16fffffffff,1.0,0.0,0.0
831a84fffffffff,3.0,0.0,0.0
831aa0fffffffff,79.0,0.0,0.0
831aa2fffffffff,20.0,0.0,0.0
831aa3fffffffff,39.0,0.0,0.0
831aa4fffffffff,6.0,0.0,0.0
831ab0fffffffff,14.0,0.0,0.0
831ab1fffffffff,1.0,0.0,0.0
831ab5fffffffff,2.0,0.0,0.0
831ab6fffffffff,10.0,0.0,0.0
831b82fffffffff,16.0,0.0,0.0
831b83fffffffff,6.0,0.0,0.0
831b8afffffffff,4.0,0.0,0.0
831b8efffffffff,8.0,0.0,0.0
831b91fffffffff,2.0,0.0,0.0
831b92fffffffff,3.0,0.0,0.0
831b98fffffffff,5.0,0.0,0.0
831b9afffffffff,5.0,0.0,0.0
831b9cfffffffff,1.0,0.0,0.0
831d20fffffffff,13.0,0.0,0.0
831d21fffffffff,2.0,0.0,0.0
831d24fffffffff,4.0,0.0,0.0
831d25fffffffff,1.0,0.0,0.0
831d26fffffffff,4.0,0.0,0.0
831d2dfffffffff,3.0,0.0,0.0
831d31fffffffff,2.0,0.0,0.0
831d60fffffffff,12.0,0.0,0.0
831d61fffffffff,14.0,0.0,0.0
831d62fffffffff,1.0,0.0,0.0
