cell_id,Malurus assimilis,Malurus assimilis dulcis/rogersi,Malurus assimilis assimilis/bernieri
8494825ffffffff,4.0,0.0,0.0
84a6267ffffffff,1.0,0.0,1.0
84a7063ffffffff,2.0,0.0,0.0
84a706dffffffff,2.0,0.0,0.0
84a715bffffffff,2.0,0.0,0.0
84a7265ffffffff,1.0,0.0,0.0
84a7341ffffffff,1.0,0.0,0.0
84b8843ffffffff,1.0,0.0,1.0
84b8855ffffffff,2.0,0.0,2.0
84be401ffffffff,3.0,0.0,0.0
84be403ffffffff,3.0,0.0,0.0
84be497ffffffff,6.0,0.0,0.0
84be4a3ffffffff,4.0,0.0,4.0
84be891ffffffff,3.0,0.0,0.0
84be89bffffffff,10.0,0.0,0.0
84bec61ffffffff,2.0,0.0,0.0
84bece9ffffffff,1.0,0.0,1.0
84bed19ffffffff,2.0,0.0,0.0
84bef03ffffffff,2.0,0.0,0.0
84bef07ffffffff,4.0,0.0,0.0
84bef21ffffffff,15.0,0.0,2.0
84bef2bffffffff,7.0,0.0,0.0
84bef35ffffffff,2.0,0.0,0.0
84bef3dffffffff,6.0,0.0,0.0
84bef51ffffffff,4.0,0.0,0.0
