cell_id,Oenanthe scotocerca,Oenanthe scotocerca [scotocerca Group],Oenanthe scotocerca spectatrix/validior
835299fffffffff,1.0,0.0,0.0
83529bfffffffff,2.0,0.0,0.0
8352a3fffffffff,1.0,0.0,0.0
836a48fffffffff,1.0,0.0,0.0
836a4bfffffffff,2.0,0.0,0.0
836a58fffffffff,9.0,0.0,0.0
836a5afffffffff,2.0,0.0,0.0
836a5bfffffffff,5.0,0.0,0.0
836a6dfffffffff,1.0,0.0,0.0
837a40fffffffff,78.0,0.0,0.0
837a41fffffffff,89.0,0.0,0.0
837a43fffffffff,1.0,0.0,0.0
837a4cfffffffff,151.0,0.0,0.0
837a59fffffffff,27.0,0.0,0.0
837a5cfffffffff,3.0,0.0,0.0
837a5dfffffffff,1.0,0.0,0.0
837a5efffffffff,2.0,0.0,0.0
837ac1fffffffff,11.0,0.0,0.0
837acafffffffff,1.0,0.0,0.0
837accfffffffff,1.0,0.0,0.0
837ad9fffffffff,9.0,0.0,0.0
837ae8fffffffff,13.0,0.0,0.0
837ae9fffffffff,13.0,0.0,0.0
837aeafffffffff,13.0,0.0,0.0
837aedfffffffff,1.0,0.0,0.0
