cell_id,Sericornis frontalis,Sericornis frontalis laevigaster,Sericornis frontalis [frontalis Group]
829c07fffffffff,9.0,0.0,0.0
829c1ffffffffff,1.0,1.0,0.0
829c27fffffffff,223.0,28.0,0.0
829d07fffffffff,15.0,0.0,0.0
829d0ffffffffff,248.0,30.0,0.0
829d27fffffffff,167.0,1.0,0.0
829d2ffffffffff,28.0,0.0,0.0
82b917fffffffff,421.0,0.0,12.0
82b937fffffffff,49.0,0.0,0.0
82be0ffffffffff,12034.0,0.0,1639.0
82be1ffffffffff,1595.0,0.0,127.0
82be2ffffffffff,352.0,0.0,36.0
82be47fffffffff,1114.0,0.0,329.0
82be4ffffffffff,172.0,0.0,22.0
82be57fffffffff,4.0,0.0,0.0
82be67fffffffff,12231.0,0.0,1854.0
82be6ffffffffff,1687.0,0.0,220.0
82be77fffffffff,7996.0,0.0,647.0
82be8ffffffffff,8317.0,41.0,72.0
82beaffffffffff,3339.0,19.0,76.0
82bec7fffffffff,2.0,0.0,0.0
82bed7fffffffff,17.0,0.0,0.0
82bedffffffffff,74.0,0.0,0.0
82bee7fffffffff,275.0,0.0,7.0
82bef7fffffffff,1614.0,5.0,34.0
82bf5ffffffffff,42.0,0.0,0.0
