cell_id,Lampornis amethystinus,Lampornis amethystinus [amethystinus Group],Lampornis amethystinus margaritae
834520fffffffff,10.0,0.0,0.0
834524fffffffff,111.0,0.0,0.0
834525fffffffff,218.0,0.0,0.0
834526fffffffff,22.0,0.0,0.0
834836fffffffff,98.0,3.0,0.0
8348a2fffffffff,6.0,0.0,0.0
834980fffffffff,12.0,0.0,0.0
834982fffffffff,2.0,0.0,0.0
834985fffffffff,1.0,0.0,0.0
834986fffffffff,45.0,0.0,0.0
834990fffffffff,20.0,0.0,0.0
834991fffffffff,16.0,1.0,0.0
834994fffffffff,11.0,0.0,0.0
834995fffffffff,5.0,0.0,0.0
834996fffffffff,233.0,47.0,0.0
834998fffffffff,38.0,0.0,0.0
83499cfffffffff,12.0,0.0,0.0
83499efffffffff,5.0,0.0,0.0
8349a8fffffffff,166.0,2.0,0.0
8349a9fffffffff,22.0,0.0,0.0
8349aafffffffff,51.0,0.0,0.0
8349b0fffffffff,2.0,0.0,0.0
8349b1fffffffff,90.0,0.0,24.0
8349b3fffffffff,173.0,0.0,0.0
8349b5fffffffff,1.0,0.0,1.0
836d04fffffffff,4.0,0.0,0.0
836d05fffffffff,23.0,4.0,0.0
836d20fffffffff,22.0,2.0,0.0
836d21fffffffff,56.0,18.0,0.0
836d23fffffffff,719.0,118.0,0.0
836d28fffffffff,999.0,17.0,0.0
836d29fffffffff,414.0,11.0,0.0
836d2afffffffff,165.0,11.0,0.0
836d2bfffffffff,103.0,0.0,0.0
836d2cfffffffff,11.0,0.0,0.0
836d2dfffffffff,176.0,0.0,0.0
836d2efffffffff,21.0,0.0,0.0
836d30fffffffff,141.0,0.0,0.0
836d32fffffffff,160.0,0.0,0.0
836d33fffffffff,195.0,0.0,0.0
836d36fffffffff,40.0,0.0,0.0
836d64fffffffff,58.0,0.0,0.0
836d66fffffffff,71.0,0.0,0.0
836d74fffffffff,7.0,0.0,0.0
