cell_id,Anthoscopus caroli,Anthoscopus caroli [ansorgei Group],Anthoscopus caroli sylviella/sharpei,Anthoscopus caroli roccatii,Anthoscopus caroli rankinei,Anthoscopus caroli [caroli Group]
846a5a9ffffffff,3.0,0.0,0.0,3.0,0.0,0.0
846aee3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
847a481ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
847a60bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a633ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a63bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a6a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847a6a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a6d1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
847a6e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a6edffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8497199ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849719bffffffff,1.0,0.0,0.0,0.0,0.0,1.0
84971cbffffffff,1.0,0.0,0.0,0.0,0.0,1.0
84bc993ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
84bcdcdffffffff,2.0,0.0,0.0,0.0,0.0,0.0
