cell_id,Edolisoma timoriense,Edolisoma timoriense emancipatum/kalaotuae,Edolisoma timoriense timoriense
839404fffffffff,7.0,0.0,0.0
839423fffffffff,18.0,0.0,0.0
839428fffffffff,4.0,0.0,0.0
83942cfffffffff,18.0,0.0,0.0
83942dfffffffff,2.0,0.0,0.0
