cell_id,Todiramphus sacer,Todiramphus sacer [juliae Group],Todiramphus sacer [sacer Group],Todiramphus sacer [solomonis Group],Todiramphus sacer [vitiensis Group],Todiramphus sacer marinus
849a141ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
849a169ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849a74dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b0a5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b0c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849b0cdffffffff,8.0,0.0,2.0,0.0,0.0,0.0
849b19bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
849b411ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849b413ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849b41bffffffff,55.0,0.0,0.0,0.0,0.0,0.0
849b427ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849b437ffffffff,54.0,0.0,0.0,0.0,0.0,0.0
849b43bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b45bffffffff,20.0,0.0,0.0,0.0,0.0,0.0
849b4c1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
849b4c5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b4c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849b4cbffffffff,11.0,0.0,0.0,0.0,0.0,0.0
849b4cdffffffff,6.0,0.0,0.0,0.0,0.0,0.0
849b4d5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849b4d9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b4ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b4e5ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
849b5cbffffffff,14.0,0.0,0.0,0.0,0.0,0.0
849b5d9ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
849b5ddffffffff,11.0,0.0,0.0,0.0,0.0,0.0
849b6a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b6a3ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
849b6a7ffffffff,35.0,0.0,0.0,0.0,0.0,0.0
849b6adffffffff,4.0,0.0,0.0,0.0,0.0,0.0
849b6b1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849b6b5ffffffff,40.0,0.0,0.0,0.0,0.0,0.0
849b6b7ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
849b6bdffffffff,11.0,0.0,0.0,0.0,0.0,0.0
849b6e7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
849b733ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849b897ffffffff,38.0,0.0,0.0,0.0,0.0,0.0
849e021ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
849e025ffffffff,38.0,0.0,0.0,0.0,0.0,0.0
849e029ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849e02dffffffff,59.0,0.0,0.0,0.0,0.0,0.0
849e067ffffffff,47.0,0.0,0.0,0.0,0.0,0.0
849e06dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849e103ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
849e113ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849e119ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
849e13dffffffff,19.0,0.0,0.0,0.0,0.0,0.0
849e151ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849e153ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849e225ffffffff,33.0,0.0,0.0,0.0,0.0,0.0
849e227ffffffff,74.0,0.0,0.0,0.0,0.0,0.0
849e245ffffffff,277.0,0.0,0.0,0.0,0.0,0.0
849e261ffffffff,68.0,0.0,0.0,0.0,0.0,0.0
849e269ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849e31bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
849e333ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849e8cbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849ead9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849ec03ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
849ec39ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849ed51ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
849ed59ffffffff,5.0,0.0,0.0,2.0,0.0,0.0
849ef37ffffffff,4.0,0.0,0.0,2.0,0.0,0.0
