cell_id,Todiramphus sanctus,Todiramphus sanctus sanctus,Todiramphus sanctus canacorum,Todiramphus sanctus macmillani,Todiramphus sanctus vagans
83688afffffffff,4.0,4.0,0.0,0.0,0.0
836892fffffffff,3.0,3.0,0.0,0.0,0.0
83689afffffffff,2.0,0.0,0.0,0.0,0.0
8368c3fffffffff,2.0,0.0,0.0,0.0,0.0
8368c8fffffffff,81.0,15.0,0.0,0.0,0.0
8368cefffffffff,9.0,0.0,0.0,0.0,0.0
8368d2fffffffff,4.0,0.0,0.0,0.0,0.0
8368d8fffffffff,4.0,0.0,0.0,0.0,0.0
8368dbfffffffff,2.0,0.0,0.0,0.0,0.0
83699afffffffff,2.0,0.0,0.0,0.0,0.0
83728bfffffffff,5.0,0.0,0.0,0.0,0.0
83728efffffffff,2.0,0.0,0.0,0.0,0.0
837290fffffffff,9.0,3.0,0.0,0.0,0.0
837291fffffffff,9.0,0.0,0.0,0.0,0.0
83729dfffffffff,26.0,0.0,0.0,0.0,0.0
8372a0fffffffff,10.0,0.0,0.0,0.0,0.0
8372a2fffffffff,4.0,0.0,0.0,0.0,0.0
8372a3fffffffff,20.0,0.0,0.0,0.0,0.0
8372aefffffffff,54.0,0.0,0.0,0.0,0.0
8372b4fffffffff,2.0,0.0,0.0,0.0,0.0
8372d2fffffffff,97.0,6.0,0.0,0.0,0.0
8372d5fffffffff,4.0,0.0,0.0,0.0,0.0
8372d9fffffffff,3.0,0.0,0.0,0.0,0.0
8372dafffffffff,4.0,1.0,0.0,0.0,0.0
8372dbfffffffff,2.0,0.0,0.0,0.0,0.0
8372ddfffffffff,1.0,0.0,0.0,0.0,0.0
8372defffffffff,21.0,10.0,0.0,0.0,0.0
8372f2fffffffff,58.0,2.0,0.0,0.0,0.0
8372f3fffffffff,43.0,1.0,0.0,0.0,0.0
837390fffffffff,38.0,0.0,0.0,0.0,0.0
837395fffffffff,6.0,2.0,0.0,0.0,0.0
837398fffffffff,4.0,0.0,0.0,0.0,0.0
83739afffffffff,121.0,23.0,0.0,0.0,0.0
83739bfffffffff,43.0,9.0,0.0,0.0,0.0
837686fffffffff,3.0,1.0,0.0,0.0,0.0
83768efffffffff,1.0,0.0,0.0,0.0,0.0
837699fffffffff,32.0,0.0,0.0,0.0,0.0
83769dfffffffff,3.0,0.0,0.0,0.0,0.0
8376b5fffffffff,2.0,2.0,0.0,0.0,0.0
837791fffffffff,2.0,0.0,0.0,0.0,0.0
83779afffffffff,4.0,0.0,0.0,0.0,0.0
838c10fffffffff,35.0,7.0,0.0,0.0,0.0
838c12fffffffff,3.0,0.0,0.0,0.0,0.0
838c13fffffffff,3.0,0.0,0.0,0.0,0.0
838d80fffffffff,21.0,10.0,0.0,0.0,0.0
838d84fffffffff,5.0,0.0,0.0,0.0,0.0
838d85fffffffff,3.0,3.0,0.0,0.0,0.0
838d8cfffffffff,4.0,2.0,0.0,0.0,0.0
838d9afffffffff,2.0,0.0,0.0,0.0,0.0
838da2fffffffff,7.0,5.0,0.0,0.0,0.0
838da3fffffffff,2.0,0.0,0.0,0.0,0.0
838da6fffffffff,6.0,0.0,0.0,0.0,0.0
838dabfffffffff,2.0,1.0,0.0,0.0,0.0
838db4fffffffff,5.0,4.0,0.0,0.0,0.0
838db5fffffffff,174.0,33.0,0.0,0.0,0.0
