cell_id,Gygis alba,Gygis alba alba,Gygis alba candida/leucopes,Gygis alba microrhyncha
844602bffffffff,2.0,0.0,0.0,0.0
8446063ffffffff,2.0,0.0,0.0,0.0
8446065ffffffff,2.0,0.0,0.0,0.0
8446081ffffffff,2.0,0.0,0.0,0.0
8446083ffffffff,12.0,0.0,0.0,0.0
844608bffffffff,10.0,0.0,0.0,0.0
8446093ffffffff,4.0,0.0,0.0,0.0
8446095ffffffff,2.0,0.0,0.0,0.0
84460b1ffffffff,1.0,0.0,0.0,0.0
84460bbffffffff,1.0,0.0,0.0,0.0
844633dffffffff,96.0,0.0,0.0,0.0
8446421ffffffff,10.0,0.0,0.0,0.0
8446423ffffffff,10.0,0.0,0.0,0.0
8446425ffffffff,11.0,0.0,0.0,0.0
8446427ffffffff,6.0,0.0,0.0,0.0
8446429ffffffff,3.0,0.0,0.0,0.0
844642dffffffff,2.0,0.0,0.0,0.0
8446431ffffffff,2.0,0.0,0.0,0.0
8446435ffffffff,4.0,0.0,0.0,0.0
8446437ffffffff,4.0,0.0,0.0,0.0
844643dffffffff,3.0,0.0,0.0,0.0
8446483ffffffff,7.0,0.0,2.0,0.0
8446485ffffffff,2.0,0.0,0.0,0.0
8446487ffffffff,26.0,0.0,1.0,0.0
8446495ffffffff,1820.0,0.0,727.0,0.0
84464a9ffffffff,2.0,0.0,0.0,0.0
84464b9ffffffff,638.0,0.0,185.0,0.0
84464bbffffffff,16.0,0.0,9.0,0.0
8446541ffffffff,4.0,0.0,0.0,0.0
8446543ffffffff,2.0,0.0,0.0,0.0
8446545ffffffff,4.0,0.0,0.0,0.0
8446553ffffffff,3.0,0.0,0.0,0.0
8446555ffffffff,6.0,0.0,0.0,0.0
8446557ffffffff,3.0,0.0,0.0,0.0
8447a27ffffffff,2.0,0.0,0.0,0.0
8447a35ffffffff,322.0,0.0,1.0,0.0
8447a37ffffffff,2.0,0.0,0.0,0.0
844a4abffffffff,1.0,0.0,0.0,0.0
844e461ffffffff,1.0,0.0,1.0,0.0
844e467ffffffff,1.0,0.0,0.0,0.0
844e469ffffffff,1.0,0.0,1.0,0.0
844e553ffffffff,1.0,0.0,1.0,0.0
844e55bffffffff,1.0,0.0,0.0,0.0
844e649ffffffff,186.0,0.0,16.0,0.0
844e711ffffffff,1.0,0.0,1.0,0.0
844e717ffffffff,2.0,0.0,0.0,0.0
844e759ffffffff,1.0,0.0,1.0,0.0
844f41dffffffff,1.0,0.0,0.0,0.0
844f491ffffffff,19.0,0.0,0.0,0.0
844f495ffffffff,370.0,0.0,158.0,0.0
844f49bffffffff,75.0,0.0,0.0,0.0
844f4a5ffffffff,3.0,0.0,2.0,0.0
844f4adffffffff,1.0,0.0,1.0,0.0
844f4b5ffffffff,349.0,0.0,15.0,0.0
844f59bffffffff,2.0,0.0,2.0,0.0
844f5d3ffffffff,1.0,0.0,0.0,0.0
844f601ffffffff,1.0,0.0,0.0,0.0
845a0d7ffffffff,1.0,0.0,0.0,0.0
845ae85ffffffff,1.0,0.0,1.0,0.0
845b43bffffffff,3.0,0.0,0.0,0.0
845d101ffffffff,2.0,0.0,2.0,0.0
845d105ffffffff,13.0,0.0,6.0,0.0
845d107ffffffff,8.0,0.0,0.0,0.0
845d129ffffffff,162.0,0.0,0.0,0.0
