cell_id,Melanerpes aurifrons,Melanerpes aurifrons aurifrons,Melanerpes aurifrons [santacruzi Group],Melanerpes aurifrons polygrammus
8426c21ffffffff,2.0,0.0,0.0,0.0
8426c27ffffffff,29.0,0.0,0.0,0.0
8426c37ffffffff,5.0,0.0,0.0,0.0
8426c67ffffffff,2.0,0.0,0.0,0.0
8426cadffffffff,2.0,0.0,0.0,0.0
8426cb5ffffffff,6.0,0.0,0.0,0.0
8426cb7ffffffff,2.0,0.0,0.0,0.0
8426ce5ffffffff,1.0,0.0,0.0,0.0
8426ce7ffffffff,2.0,0.0,0.0,0.0
8426d03ffffffff,3.0,2.0,0.0,0.0
8426d11ffffffff,3.0,0.0,0.0,0.0
8426d13ffffffff,3.0,2.0,0.0,0.0
8426d15ffffffff,887.0,17.0,0.0,0.0
8426d17ffffffff,2.0,2.0,0.0,0.0
8426d1bffffffff,24.0,0.0,0.0,0.0
8426d1dffffffff,9.0,0.0,0.0,0.0
8426d39ffffffff,34.0,1.0,0.0,0.0
8426d57ffffffff,4.0,0.0,0.0,0.0
8426d5bffffffff,2.0,0.0,0.0,0.0
8426d81ffffffff,98.0,2.0,0.0,0.0
8426d83ffffffff,57.0,2.0,0.0,0.0
8426d85ffffffff,45.0,2.0,0.0,0.0
8426d87ffffffff,54.0,4.0,0.0,0.0
8426d89ffffffff,36.0,0.0,0.0,0.0
8426d8bffffffff,15.0,2.0,0.0,0.0
8426d8dffffffff,73.0,5.0,0.0,0.0
8426d91ffffffff,56.0,1.0,0.0,0.0
8426d93ffffffff,9.0,7.0,0.0,0.0
8426d95ffffffff,263.0,77.0,0.0,0.0
8426d97ffffffff,62.0,6.0,0.0,0.0
8426d99ffffffff,63.0,2.0,0.0,0.0
8426d9bffffffff,9.0,0.0,0.0,0.0
8426d9dffffffff,103.0,12.0,0.0,0.0
8426da1ffffffff,19.0,0.0,0.0,0.0
8426da3ffffffff,65.0,0.0,0.0,0.0
8426da5ffffffff,17.0,0.0,0.0,0.0
8426da7ffffffff,5.0,0.0,0.0,0.0
8426da9ffffffff,46.0,5.0,0.0,0.0
8426dabffffffff,49.0,0.0,0.0,0.0
8426db1ffffffff,69.0,8.0,0.0,0.0
