cell_id,Vireo flavoviridis,Vireo flavoviridis [flavoviridis Group],Vireo flavoviridis forreri
832802fffffffff,11.0,0.0,0.0
832830fffffffff,37.0,0.0,0.0
832831fffffffff,3.0,0.0,0.0
832833fffffffff,1.0,0.0,0.0
832834fffffffff,84.0,0.0,0.0
832835fffffffff,72.0,0.0,0.0
832912fffffffff,44.0,0.0,0.0
832913fffffffff,2.0,0.0,0.0
83291afffffffff,14.0,0.0,0.0
83291efffffffff,16.0,0.0,0.0
832984fffffffff,22.0,0.0,0.0
8329a1fffffffff,60.0,0.0,0.0
8329a3fffffffff,2.0,0.0,0.0
8329a4fffffffff,148.0,0.0,0.0
8329a5fffffffff,12.0,0.0,0.0
8329adfffffffff,25.0,0.0,0.0
8329b5fffffffff,3.0,0.0,0.0
8329b6fffffffff,3.0,0.0,0.0
832a30fffffffff,5.0,0.0,0.0
832a31fffffffff,3.0,0.0,0.0
832aadfffffffff,19.0,0.0,0.0
832af0fffffffff,3.0,0.0,0.0
83441efffffffff,1.0,0.0,0.0
834445fffffffff,2.0,0.0,0.0
834450fffffffff,1.0,0.0,0.0
834463fffffffff,9.0,0.0,0.0
83446cfffffffff,12.0,0.0,0.0
83446dfffffffff,20.0,0.0,0.0
83446efffffffff,16.0,0.0,0.0
834473fffffffff,26.0,0.0,0.0
8344a1fffffffff,78.0,0.0,0.0
8344a5fffffffff,70.0,0.0,0.0
8344a8fffffffff,5.0,0.0,0.0
8344abfffffffff,5.0,0.0,0.0
8344d0fffffffff,3.0,0.0,0.0
8344e5fffffffff,7.0,0.0,0.0
834501fffffffff,1.0,0.0,0.0
834505fffffffff,2.0,0.0,0.0
834508fffffffff,1.0,0.0,0.0
83450afffffffff,5.0,0.0,0.0
834520fffffffff,4.0,0.0,0.0
834521fffffffff,7.0,0.0,0.0
834522fffffffff,3.0,0.0,0.0
834523fffffffff,2.0,0.0,0.0
834524fffffffff,6.0,0.0,0.0
834525fffffffff,3.0,0.0,0.0
834526fffffffff,8.0,0.0,0.0
83452afffffffff,11.0,0.0,0.0
83452cfffffffff,1.0,0.0,0.0
83452dfffffffff,2.0,0.0,0.0
83452efffffffff,19.0,0.0,0.0
834833fffffffff,1.0,0.0,0.0
834836fffffffff,1.0,0.0,0.0
834843fffffffff,10.0,0.0,0.0
834846fffffffff,2.0,0.0,0.0
83484afffffffff,25.0,0.0,0.0
834871fffffffff,5.0,0.0,0.0
834873fffffffff,3.0,0.0,0.0
834883fffffffff,1.0,0.0,0.0
83488dfffffffff,150.0,0.0,0.0
834890fffffffff,2.0,0.0,0.0
834892fffffffff,11.0,0.0,0.0
834893fffffffff,8.0,0.0,0.0
834895fffffffff,19.0,0.0,0.0
8348a2fffffffff,4.0,0.0,0.0
8348b2fffffffff,84.0,0.0,0.0
8348b3fffffffff,92.0,0.0,0.0
8348b5fffffffff,1.0,0.0,0.0
8348d4fffffffff,4.0,0.0,0.0
8348e3fffffffff,2.0,0.0,0.0
8348e8fffffffff,3.0,0.0,0.0
8348ecfffffffff,29.0,0.0,0.0
8348eefffffffff,12.0,0.0,0.0
834983fffffffff,3.0,0.0,0.0
834995fffffffff,1.0,0.0,0.0
834996fffffffff,9.0,0.0,0.0
83499cfffffffff,1.0,0.0,0.0
835e5cfffffffff,2.0,0.0,0.0
836602fffffffff,5.0,0.0,0.0
836610fffffffff,10.0,0.0,0.0
836615fffffffff,6.0,0.0,0.0
836616fffffffff,8.0,0.0,0.0
836618fffffffff,6.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0
83661afffffffff,2.0,0.0,0.0
83661bfffffffff,7.0,0.0,0.0
83661cfffffffff,7.0,0.0,0.0
836620fffffffff,11.0,0.0,0.0
836621fffffffff,3.0,0.0,0.0
836622fffffffff,10.0,0.0,0.0
836656fffffffff,6.0,0.0,0.0
836684fffffffff,2.0,0.0,0.0
8366a0fffffffff,9.0,0.0,0.0
8366a1fffffffff,6.0,0.0,0.0
8366a2fffffffff,8.0,0.0,0.0
8366a3fffffffff,10.0,0.0,0.0
8366a5fffffffff,11.0,0.0,0.0
8366a6fffffffff,11.0,0.0,0.0
8366aefffffffff,4.0,0.0,0.0
8366b0fffffffff,1.0,0.0,0.0
8366b4fffffffff,1.0,0.0,0.0
8366b5fffffffff,14.0,0.0,0.0
8366c0fffffffff,9.0,0.0,0.0
8366c2fffffffff,25.0,0.0,0.0
8366c4fffffffff,10.0,0.0,0.0
8366d1fffffffff,2.0,0.0,0.0
8366d3fffffffff,5.0,0.0,0.0
8366d5fffffffff,2.0,0.0,0.0
8366dafffffffff,10.0,0.0,0.0
8366dcfffffffff,6.0,0.0,0.0
8366defffffffff,7.0,0.0,0.0
8366e0fffffffff,3.0,0.0,0.0
8366e2fffffffff,2.0,0.0,0.0
8366e4fffffffff,12.0,0.0,0.0
8366e5fffffffff,14.0,0.0,0.0
8366e6fffffffff,10.0,0.0,0.0
8366f0fffffffff,3.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0
836783fffffffff,5.0,0.0,0.0
836796fffffffff,4.0,0.0,0.0
836d05fffffffff,13.0,0.0,0.0
836d21fffffffff,3.0,0.0,0.0
836d23fffffffff,9.0,0.0,0.0
836d2afffffffff,3.0,0.0,0.0
836d2bfffffffff,6.0,0.0,0.0
836d31fffffffff,1.0,0.0,0.0
836d32fffffffff,11.0,0.0,0.0
836d33fffffffff,2.0,0.0,0.0
836d34fffffffff,3.0,0.0,0.0
836d35fffffffff,2.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d60fffffffff,4.0,0.0,0.0
836d61fffffffff,2.0,0.0,0.0
836d66fffffffff,3.0,0.0,0.0
836d68fffffffff,13.0,0.0,0.0
836d69fffffffff,21.0,0.0,0.0
836d6efffffffff,3.0,0.0,0.0
836d75fffffffff,4.0,0.0,0.0
838a63fffffffff,1.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0
838b21fffffffff,1.0,0.0,0.0
