cell_id,Fulica americana,Fulica americana (Red-shielded),Fulica americana (White-shielded)
840d499ffffffff,1.0,0.0,0.0
840d4d5ffffffff,9.0,0.0,0.0
840ec95ffffffff,4.0,4.0,0.0
840eca1ffffffff,2.0,0.0,0.0
840eca7ffffffff,15.0,5.0,0.0
840ecbdffffffff,11.0,3.0,0.0
8412011ffffffff,1.0,0.0,0.0
8412017ffffffff,4.0,0.0,0.0
84120a5ffffffff,1.0,1.0,0.0
84120b7ffffffff,2.0,0.0,0.0
8412181ffffffff,11.0,4.0,0.0
8412185ffffffff,2.0,0.0,0.0
8412187ffffffff,75.0,11.0,0.0
841218dffffffff,9.0,0.0,0.0
8412199ffffffff,10.0,2.0,0.0
841219bffffffff,2.0,0.0,0.0
84121a3ffffffff,2.0,0.0,0.0
84121abffffffff,3.0,0.0,0.0
84121b1ffffffff,3.0,0.0,0.0
84121b9ffffffff,6.0,0.0,0.0
84121bbffffffff,70.0,0.0,0.0
84121bdffffffff,9.0,2.0,0.0
84121e3ffffffff,146.0,44.0,0.0
84121ebffffffff,2.0,0.0,0.0
8412219ffffffff,3.0,0.0,0.0
841223bffffffff,2.0,0.0,0.0
8412291ffffffff,2.0,0.0,0.0
8412299ffffffff,1.0,0.0,0.0
84122d7ffffffff,2.0,0.0,0.0
84122e9ffffffff,2.0,0.0,0.0
8412339ffffffff,2.0,0.0,0.0
8412433ffffffff,2.0,0.0,0.0
8412437ffffffff,2.0,0.0,0.0
8412485ffffffff,3.0,0.0,0.0
84124adffffffff,5.0,3.0,0.0
84124b3ffffffff,7.0,3.0,0.0
84124b5ffffffff,29.0,13.0,0.0
84124b7ffffffff,77.0,35.0,0.0
84124bdffffffff,2.0,2.0,0.0
84124d1ffffffff,4.0,3.0,0.0
84124dbffffffff,3.0,0.0,0.0
84124e7ffffffff,2.0,0.0,0.0
8412501ffffffff,1.0,0.0,0.0
8412503ffffffff,10.0,6.0,0.0
8412505ffffffff,46.0,10.0,0.0
8412507ffffffff,8.0,0.0,0.0
8412511ffffffff,26.0,0.0,0.0
8412513ffffffff,2.0,0.0,0.0
8412515ffffffff,410.0,156.0,0.0
8412517ffffffff,8.0,0.0,0.0
841251bffffffff,2.0,0.0,0.0
841251dffffffff,13.0,2.0,0.0
8412521ffffffff,6.0,2.0,0.0
8412523ffffffff,23.0,4.0,0.0
8412525ffffffff,42.0,4.0,0.0
8412527ffffffff,100.0,7.0,0.0
8412529ffffffff,2.0,0.0,0.0
841252bffffffff,4.0,0.0,0.0
841252dffffffff,9.0,4.0,0.0
8412531ffffffff,15.0,3.0,0.0
8412535ffffffff,246.0,45.0,0.0
8412537ffffffff,10.0,0.0,0.0
8412539ffffffff,104.0,48.0,0.0
841253bffffffff,32.0,7.0,0.0
841253dffffffff,20.0,4.0,0.0
8412543ffffffff,4.0,2.0,0.0
8412549ffffffff,130.0,13.0,0.0
