cell_id,Serinus alario,Serinus alario alario,Serinus alario leucolaemus
83ad12fffffffff,8.0,0.0,0.0
83ad32fffffffff,42.0,24.0,10.0
83ad36fffffffff,3.0,3.0,0.0
83ad86fffffffff,1.0,0.0,0.0
83ad8bfffffffff,1.0,0.0,0.0
83ada1fffffffff,6.0,0.0,0.0
83ada4fffffffff,2.0,0.0,0.0
83ada5fffffffff,3.0,1.0,0.0
83adabfffffffff,3.0,0.0,2.0
83bc40fffffffff,33.0,32.0,0.0
83bc41fffffffff,12.0,6.0,0.0
83bc42fffffffff,7.0,4.0,0.0
83bc43fffffffff,96.0,64.0,0.0
83bc45fffffffff,1.0,0.0,0.0
83bc48fffffffff,21.0,6.0,0.0
83bc49fffffffff,11.0,5.0,0.0
83bc4bfffffffff,19.0,0.0,0.0
83bc4cfffffffff,7.0,0.0,0.0
83bc4dfffffffff,109.0,39.0,2.0
83bc4efffffffff,4.0,4.0,0.0
83bc50fffffffff,7.0,1.0,0.0
83bc51fffffffff,4.0,1.0,0.0
83bc55fffffffff,3.0,0.0,0.0
83bc58fffffffff,2.0,0.0,0.0
83bc5cfffffffff,3.0,3.0,0.0
83bc5dfffffffff,5.0,3.0,0.0
83bc5efffffffff,2.0,0.0,0.0
83bc6afffffffff,7.0,5.0,0.0
83bc6bfffffffff,5.0,1.0,0.0
83bc71fffffffff,1.0,1.0,0.0
83bce2fffffffff,12.0,6.0,0.0
