cell_id,Laterallus jamaicensis,Laterallus jamaicensis jamaicensis/coturniculus,Laterallus jamaicensis salinasi/murivagans,Laterallus jamaicensis tuerosi
842a4c1ffffffff,1.0,0.0,0.0,0.0
842ad59ffffffff,1.0,0.0,0.0,0.0
8444325ffffffff,2.0,0.0,0.0,0.0
8444363ffffffff,9.0,0.0,0.0,0.0
84446edffffffff,2.0,0.0,0.0,0.0
8444a95ffffffff,1.0,0.0,0.0,0.0
8445059ffffffff,5.0,0.0,0.0,0.0
844505bffffffff,2.0,0.0,0.0,0.0
8445217ffffffff,1.0,0.0,0.0,0.0
8445233ffffffff,7.0,0.0,0.0,0.0
84452adffffffff,16.0,0.0,0.0,0.0
84452c3ffffffff,13.0,0.0,0.0,0.0
84452e3ffffffff,13.0,0.0,0.0,0.0
8445321ffffffff,4.0,0.0,0.0,0.0
8445365ffffffff,17.0,0.0,0.0,0.0
8445837ffffffff,2.0,0.0,0.0,0.0
8445889ffffffff,10.0,0.0,0.0,0.0
84458c7ffffffff,4.0,0.0,0.0,0.0
8445a33ffffffff,6.0,0.0,0.0,0.0
8448437ffffffff,8.0,0.0,0.0,0.0
84485d1ffffffff,4.0,0.0,0.0,0.0
8466a63ffffffff,5.0,0.0,0.0,0.0
846790bffffffff,3.0,0.0,0.0,0.0
84802b7ffffffff,9.0,0.0,0.0,0.0
848054bffffffff,18.0,2.0,0.0,0.0
8480737ffffffff,12.0,0.0,0.0,0.0
848e62dffffffff,27.0,0.0,5.0,0.0
848e665ffffffff,1.0,0.0,1.0,0.0
848e66bffffffff,6.0,0.0,0.0,6.0
848e759ffffffff,2.0,0.0,2.0,0.0
848f5e7ffffffff,2.0,0.0,0.0,0.0
84b2007ffffffff,9.0,0.0,0.0,0.0
84b2031ffffffff,16.0,0.0,0.0,0.0
84b2037ffffffff,13.0,0.0,0.0,0.0
84b2039ffffffff,201.0,0.0,0.0,0.0
84b2191ffffffff,12.0,0.0,0.0,0.0
84b2197ffffffff,4.0,0.0,0.0,0.0
84b21ddffffffff,28.0,0.0,0.0,0.0
84b2c0dffffffff,280.0,0.0,12.0,0.0
84b2c2bffffffff,2.0,0.0,0.0,0.0
84b2c35ffffffff,14.0,0.0,0.0,0.0
84b2c41ffffffff,11.0,0.0,0.0,0.0
84b2c5dffffffff,88.0,0.0,2.0,0.0
84b2d87ffffffff,30.0,0.0,0.0,0.0
84b2d9dffffffff,2.0,0.0,0.0,0.0
84b2da3ffffffff,1.0,0.0,0.0,0.0
84b2dabffffffff,10.0,0.0,0.0,0.0
84b2db3ffffffff,8.0,0.0,0.0,0.0
84b2dbbffffffff,3.0,0.0,0.0,0.0
84b2dcbffffffff,11.0,0.0,0.0,0.0
84b2e6dffffffff,5.0,0.0,0.0,0.0
84b3001ffffffff,7.0,0.0,0.0,0.0
84b3003ffffffff,2.0,0.0,0.0,0.0
84b300bffffffff,3.0,0.0,0.0,0.0
84b3047ffffffff,5.0,0.0,0.0,0.0
84b3303ffffffff,1.0,0.0,0.0,0.0
84ce881ffffffff,6.0,0.0,0.0,0.0
84ce887ffffffff,3.0,0.0,0.0,0.0
84ce8a3ffffffff,4.0,0.0,0.0,0.0
84ce8c1ffffffff,30.0,0.0,0.0,0.0
84ce8c7ffffffff,2.0,0.0,0.0,0.0
84ce8c9ffffffff,21.0,0.0,0.0,0.0
84ce8e1ffffffff,24.0,0.0,0.0,0.0
