cell_id,Trogon massena,Trogon massena massena/hoffmanni,Trogon massena australis
834505fffffffff,2.0,0.0,0.0
834521fffffffff,2.0,2.0,0.0
834523fffffffff,6.0,6.0,0.0
834525fffffffff,14.0,3.0,0.0
834528fffffffff,4.0,0.0,0.0
83452afffffffff,6.0,6.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,10.0,0.0,0.0
834536fffffffff,1.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0
8366b0fffffffff,6.0,2.0,0.0
8366d0fffffffff,3.0,0.0,0.0
8366f5fffffffff,4.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
83679afffffffff,18.0,3.0,0.0
83679bfffffffff,2.0,2.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d2cfffffffff,2.0,0.0,0.0
836d31fffffffff,3.0,3.0,0.0
836d35fffffffff,3.0,0.0,0.0
836d65fffffffff,4.0,0.0,0.0
836d68fffffffff,3.0,0.0,0.0
836d69fffffffff,19.0,10.0,0.0
