cell_id,Dicrurus adsimilis,Dicrurus adsimilis apivorus,Dicrurus adsimilis [adsimilis Group],Dicrurus adsimilis divaricatus/lugubris
835298fffffffff,8.0,0.0,0.0,0.0
835299fffffffff,2.0,0.0,0.0,0.0
8352d4fffffffff,3.0,0.0,0.0,3.0
835402fffffffff,44.0,0.0,0.0,42.0
835408fffffffff,7.0,0.0,0.0,7.0
83540bfffffffff,3.0,0.0,0.0,3.0
835410fffffffff,3.0,0.0,0.0,3.0
835411fffffffff,34.0,0.0,0.0,34.0
835413fffffffff,10.0,0.0,0.0,10.0
835415fffffffff,9.0,0.0,0.0,8.0
835418fffffffff,6.0,0.0,0.0,5.0
835419fffffffff,12.0,0.0,0.0,12.0
83541afffffffff,201.0,0.0,0.0,189.0
83541bfffffffff,113.0,0.0,0.0,109.0
83541efffffffff,5.0,0.0,0.0,5.0
835440fffffffff,19.0,0.0,0.0,19.0
835444fffffffff,2.0,0.0,0.0,2.0
835449fffffffff,4.0,0.0,0.0,4.0
8354a9fffffffff,329.0,0.0,0.0,325.0
8354adfffffffff,2.0,0.0,0.0,2.0
8354c4fffffffff,1.0,0.0,0.0,1.0
8354e0fffffffff,4.0,0.0,0.0,4.0
8354e2fffffffff,11.0,0.0,0.0,11.0
8354e4fffffffff,120.0,0.0,0.0,118.0
8354e5fffffffff,40.0,0.0,0.0,39.0
8354e6fffffffff,1.0,0.0,0.0,0.0
8354e8fffffffff,13.0,0.0,0.0,13.0
8354edfffffffff,2.0,0.0,0.0,0.0
8354f0fffffffff,2.0,0.0,0.0,2.0
8354f1fffffffff,4.0,0.0,0.0,4.0
8354f4fffffffff,82.0,0.0,0.0,78.0
8354f5fffffffff,21.0,0.0,0.0,16.0
8354f6fffffffff,6.0,0.0,0.0,6.0
835851fffffffff,6.0,0.0,0.0,6.0
835894fffffffff,2.0,0.0,0.0,2.0
835895fffffffff,2.0,0.0,0.0,0.0
835896fffffffff,34.0,0.0,0.0,34.0
8358a4fffffffff,10.0,0.0,0.0,10.0
8358a6fffffffff,13.0,0.0,0.0,13.0
8358b1fffffffff,1.0,0.0,0.0,1.0
8358b3fffffffff,2.0,0.0,0.0,0.0
8358b5fffffffff,9.0,0.0,0.0,7.0
8358c8fffffffff,4.0,0.0,0.0,4.0
8358cdfffffffff,3.0,0.0,0.0,3.0
8358e0fffffffff,3.0,0.0,0.0,3.0
8358e2fffffffff,3.0,0.0,0.0,3.0
8358f0fffffffff,1.0,0.0,0.0,1.0
8358f4fffffffff,4.0,0.0,0.0,4.0
8358f6fffffffff,2.0,0.0,0.0,2.0
835982fffffffff,5.0,0.0,0.0,5.0
835991fffffffff,4.0,0.0,0.0,4.0
835998fffffffff,25.0,0.0,0.0,25.0
83599afffffffff,4.0,0.0,0.0,4.0
83599bfffffffff,1.0,0.0,0.0,1.0
83599efffffffff,39.0,0.0,0.0,39.0
836a49fffffffff,20.0,0.0,0.0,0.0
836a4afffffffff,3.0,0.0,0.0,0.0
836a4bfffffffff,37.0,0.0,0.0,0.0
836a58fffffffff,72.0,0.0,0.0,0.0
836a5afffffffff,112.0,0.0,0.0,0.0
836a5bfffffffff,5.0,0.0,0.0,0.0
836a69fffffffff,4.0,0.0,0.0,0.0
836ac0fffffffff,31.0,0.0,0.0,1.0
836ac1fffffffff,21.0,0.0,0.0,0.0
836ac3fffffffff,400.0,0.0,0.0,0.0
836ac8fffffffff,56.0,0.0,0.0,0.0
836ac9fffffffff,44.0,0.0,0.0,0.0
836acafffffffff,7.0,0.0,0.0,0.0
836accfffffffff,41.0,0.0,0.0,0.0
836acdfffffffff,22.0,0.0,0.0,0.0
836acefffffffff,583.0,0.0,0.0,1.0
836ad8fffffffff,176.0,0.0,0.0,0.0
836ad9fffffffff,9.0,0.0,0.0,0.0
836adbfffffffff,1.0,0.0,0.0,0.0
836adcfffffffff,147.0,0.0,0.0,0.0
836addfffffffff,123.0,0.0,0.0,0.0
836adefffffffff,3.0,0.0,0.0,0.0
836ae0fffffffff,6.0,0.0,0.0,0.0
836ae1fffffffff,2.0,0.0,0.0,0.0
836ae8fffffffff,61.0,0.0,0.0,0.0
836aeafffffffff,93.0,0.0,0.0,1.0
836aebfffffffff,41.0,0.0,0.0,0.0
836aecfffffffff,2.0,0.0,0.0,2.0
836aeefffffffff,60.0,0.0,0.0,0.0
836b12fffffffff,12.0,0.0,0.0,12.0
836bb6fffffffff,2.0,0.0,0.0,2.0
837508fffffffff,4.0,0.0,0.0,4.0
83750dfffffffff,28.0,0.0,0.0,28.0
837518fffffffff,2.0,0.0,0.0,2.0
837519fffffffff,2.0,0.0,0.0,2.0
837520fffffffff,272.0,0.0,0.0,270.0
837521fffffffff,1.0,0.0,0.0,1.0
837523fffffffff,1.0,0.0,0.0,1.0
837525fffffffff,3.0,0.0,0.0,3.0
837529fffffffff,143.0,0.0,0.0,143.0
83752afffffffff,14.0,0.0,0.0,14.0
83752dfffffffff,7.0,0.0,0.0,7.0
837530fffffffff,8.0,0.0,0.0,8.0
837531fffffffff,3.0,0.0,0.0,3.0
837536fffffffff,11.0,0.0,0.0,11.0
837574fffffffff,1.0,0.0,0.0,1.0
837576fffffffff,2.0,0.0,0.0,2.0
8375a5fffffffff,1.0,0.0,0.0,1.0
8375a8fffffffff,1.0,0.0,0.0,1.0
837a40fffffffff,913.0,0.0,0.0,0.0
837a41fffffffff,663.0,0.0,0.0,0.0
837a43fffffffff,3.0,0.0,0.0,0.0
837a44fffffffff,5.0,0.0,0.0,0.0
837a45fffffffff,170.0,0.0,0.0,0.0
837a46fffffffff,13.0,0.0,0.0,0.0
837a48fffffffff,163.0,0.0,0.0,0.0
837a49fffffffff,9.0,0.0,0.0,0.0
837a4afffffffff,3.0,0.0,0.0,0.0
837a4bfffffffff,89.0,0.0,0.0,0.0
837a4cfffffffff,194.0,0.0,0.0,0.0
837a4dfffffffff,56.0,0.0,0.0,0.0
837a4efffffffff,3.0,0.0,0.0,0.0
837a50fffffffff,2.0,0.0,0.0,0.0
837a53fffffffff,7.0,0.0,0.0,3.0
837a55fffffffff,2.0,0.0,0.0,0.0
837a59fffffffff,31.0,0.0,0.0,0.0
837a5afffffffff,4.0,0.0,0.0,0.0
837a5cfffffffff,4.0,0.0,0.0,0.0
837a5dfffffffff,1.0,0.0,0.0,0.0
837a5efffffffff,1.0,0.0,0.0,0.0
837a60fffffffff,361.0,0.0,0.0,0.0
837a61fffffffff,308.0,0.0,0.0,0.0
837a63fffffffff,36.0,0.0,0.0,0.0
837a64fffffffff,236.0,0.0,0.0,0.0
837a65fffffffff,286.0,0.0,0.0,0.0
837a66fffffffff,33.0,0.0,0.0,0.0
837a68fffffffff,755.0,0.0,0.0,0.0
837a69fffffffff,3.0,0.0,0.0,0.0
837a6afffffffff,833.0,0.0,0.0,0.0
837a6bfffffffff,108.0,0.0,0.0,0.0
837a6cfffffffff,19.0,0.0,0.0,0.0
837a6dfffffffff,655.0,0.0,0.0,0.0
837a6efffffffff,398.0,0.0,0.0,0.0
837a71fffffffff,2.0,0.0,0.0,0.0
