cell_id,Saucerottia cyanocephala,Saucerottia cyanocephala cyanocephala,Saucerottia cyanocephala chlorostephana
834505fffffffff,3.0,0.0,0.0
834520fffffffff,6.0,0.0,0.0
834521fffffffff,81.0,0.0,0.0
834524fffffffff,2.0,2.0,0.0
834525fffffffff,9.0,5.0,0.0
834526fffffffff,1.0,0.0,0.0
83452afffffffff,13.0,0.0,0.0
83452efffffffff,2.0,0.0,0.0
834536fffffffff,8.0,0.0,8.0
834982fffffffff,2.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834996fffffffff,17.0,3.0,0.0
834998fffffffff,3.0,2.0,0.0
83499cfffffffff,2.0,0.0,0.0
836d23fffffffff,8.0,0.0,0.0
836d28fffffffff,2.0,1.0,0.0
836d29fffffffff,11.0,7.0,0.0
836d2bfffffffff,4.0,0.0,0.0
836d2dfffffffff,36.0,30.0,0.0
836d30fffffffff,3.0,0.0,0.0
836d31fffffffff,2.0,0.0,0.0
836d32fffffffff,2.0,0.0,0.0
836d35fffffffff,1.0,0.0,0.0
836d61fffffffff,2.0,0.0,0.0
836d64fffffffff,3.0,3.0,0.0
836d65fffffffff,7.0,7.0,0.0
