cell_id,Haematopus ostralegus,Haematopus ostralegus ostralegus/longipes,Haematopus ostralegus osculans
8430a13ffffffff,5.0,0.0,0.0
8430c4dffffffff,10.0,0.0,10.0
8430d17ffffffff,1.0,0.0,0.0
8430e09ffffffff,1.0,0.0,0.0
8430e0bffffffff,1.0,0.0,0.0
84318d1ffffffff,2.0,0.0,0.0
8434261ffffffff,7.0,0.0,0.0
84344cbffffffff,4.0,0.0,0.0
84351b5ffffffff,2.0,0.0,0.0
8438269ffffffff,2.0,0.0,0.0
84384a1ffffffff,2.0,0.0,0.0
84384a9ffffffff,2.0,0.0,0.0
84386abffffffff,3.0,3.0,0.0
843901dffffffff,3.0,0.0,0.0
843903dffffffff,2.0,0.0,0.0
843908bffffffff,2.0,0.0,0.0
84390d1ffffffff,2.0,0.0,0.0
8439101ffffffff,89.0,1.0,0.0
8439115ffffffff,20.0,0.0,0.0
8439159ffffffff,22.0,0.0,0.0
843915dffffffff,3.0,0.0,0.0
8439197ffffffff,7.0,0.0,0.0
84391a9ffffffff,2.0,0.0,0.0
84391abffffffff,4.0,0.0,0.0
84391c7ffffffff,1.0,0.0,0.0
84391e3ffffffff,3.0,1.0,0.0
84391e9ffffffff,2.0,0.0,0.0
843920dffffffff,4.0,0.0,0.0
8439221ffffffff,59.0,0.0,0.0
8439227ffffffff,2.0,0.0,0.0
8439229ffffffff,19.0,0.0,0.0
8439243ffffffff,1.0,0.0,0.0
8439247ffffffff,11.0,0.0,0.0
8439253ffffffff,51.0,0.0,0.0
8439259ffffffff,10.0,0.0,0.0
843925bffffffff,27.0,0.0,0.0
84392adffffffff,4.0,0.0,0.0
84392b5ffffffff,4.0,0.0,0.0
84392d1ffffffff,26.0,0.0,0.0
84392dbffffffff,11.0,0.0,0.0
84392e1ffffffff,9.0,0.0,0.0
84392e5ffffffff,6.0,0.0,0.0
8439313ffffffff,2.0,0.0,0.0
8439317ffffffff,2.0,0.0,0.0
843931bffffffff,24.0,0.0,0.0
8439333ffffffff,2.0,0.0,0.0
8439337ffffffff,15.0,0.0,0.0
8439339ffffffff,4.0,0.0,0.0
843933bffffffff,4.0,0.0,0.0
8439427ffffffff,7.0,0.0,0.0
8439435ffffffff,2.0,2.0,0.0
843946dffffffff,3.0,3.0,0.0
8439541ffffffff,2.0,0.0,0.0
843971dffffffff,5.0,0.0,0.0
8439741ffffffff,1.0,0.0,0.0
8439747ffffffff,6.0,0.0,0.0
8439749ffffffff,2.0,0.0,0.0
8439827ffffffff,2.0,2.0,0.0
843c899ffffffff,3.0,0.0,0.0
843c927ffffffff,6.0,0.0,0.0
843cd49ffffffff,2.0,0.0,0.0
843d323ffffffff,5.0,0.0,0.0
843dac9ffffffff,4.0,0.0,0.0
843e68dffffffff,9.0,0.0,0.0
843f44bffffffff,2.0,0.0,0.0
84411cbffffffff,11.0,0.0,4.0
8441739ffffffff,3.0,0.0,3.0
8441a09ffffffff,102.0,0.0,2.0
8441a43ffffffff,18.0,0.0,0.0
8441a55ffffffff,46.0,0.0,0.0
8441b55ffffffff,4.0,0.0,0.0
8442c01ffffffff,36.0,0.0,0.0
8442c09ffffffff,6.0,0.0,0.0
8442c0dffffffff,13.0,0.0,0.0
8442c47ffffffff,2.0,0.0,0.0
8442c61ffffffff,1.0,0.0,0.0
8442db5ffffffff,35.0,0.0,0.0
84431e1ffffffff,5.0,0.0,0.0
84431e3ffffffff,7.0,0.0,0.0
84431e7ffffffff,5.0,0.0,0.0
84431e9ffffffff,8.0,0.0,0.0
84438c3ffffffff,1.0,1.0,0.0
8443983ffffffff,5.0,5.0,0.0
844398dffffffff,6.0,6.0,0.0
8443a03ffffffff,2.0,0.0,0.0
8443a07ffffffff,6.0,0.0,0.0
8443ac1ffffffff,3.0,0.0,0.0
844b26dffffffff,3.0,0.0,0.0
844b30dffffffff,3.0,0.0,0.0
844ba15ffffffff,4.0,0.0,0.0
844ba1dffffffff,2.0,0.0,0.0
844ba2dffffffff,2.0,0.0,0.0
844ba67ffffffff,7.0,0.0,0.0
844bb19ffffffff,38.0,0.0,0.0
844bb53ffffffff,4.0,0.0,0.0
84524d3ffffffff,3.0,3.0,0.0
8454139ffffffff,2.0,0.0,0.0
8454c41ffffffff,2.0,0.0,0.0
8454c51ffffffff,1.0,0.0,0.0
8454c53ffffffff,3.0,0.0,0.0
8454c55ffffffff,2.0,0.0,0.0
8460027ffffffff,2.0,0.0,0.0
846002dffffffff,5.0,0.0,0.0
8460061ffffffff,11.0,0.0,0.0
8460067ffffffff,5.0,0.0,0.0
8460069ffffffff,5.0,0.0,0.0
8460113ffffffff,3.0,0.0,0.0
846011bffffffff,2.0,0.0,0.0
84601e1ffffffff,8.0,0.0,0.0
84601e9ffffffff,3.0,0.0,0.0
8460221ffffffff,25.0,0.0,0.0
8460229ffffffff,58.0,0.0,0.0
846026bffffffff,2.0,0.0,0.0
8460a91ffffffff,31.0,0.0,0.0
8460a97ffffffff,19.0,0.0,0.0
8460acdffffffff,2.0,0.0,0.0
84611a3ffffffff,2.0,0.0,0.0
84611a9ffffffff,1.0,0.0,0.0
84611adffffffff,13.0,0.0,0.0
84611b1ffffffff,16.0,0.0,0.0
84618c1ffffffff,6.0,0.0,0.0
84618c5ffffffff,6.0,0.0,0.0
84618e1ffffffff,113.0,2.0,0.0
8461a9dffffffff,3.0,0.0,0.0
8461ab7ffffffff,2.0,0.0,0.0
846322dffffffff,3.0,3.0,0.0
84694edffffffff,17.0,0.0,3.0
847b591ffffffff,2.0,0.0,0.0
847b597ffffffff,4.0,0.0,0.0
8497357ffffffff,6.0,0.0,0.0
84ac12dffffffff,1.0,0.0,0.0
84ad329ffffffff,2.0,0.0,0.0
84ad369ffffffff,2.0,0.0,0.0
84bc1b7ffffffff,5.0,0.0,0.0
84bcf61ffffffff,24.0,0.0,0.0
