cell_id,Phyllastrephus flavostriatus,Phyllastrephus flavostriatus alfredi,Phyllastrephus flavostriatus [flavostriatus Group]
836ac1fffffffff,2.0,0.0,0.0
836ac3fffffffff,4.0,0.0,0.0
836ac8fffffffff,1.0,0.0,0.0
836acdfffffffff,5.0,0.0,4.0
836acefffffffff,2.0,0.0,0.0
836adafffffffff,2.0,0.0,0.0
836adcfffffffff,411.0,0.0,72.0
836adefffffffff,112.0,0.0,40.0
837b48fffffffff,97.0,0.0,17.0
837b4bfffffffff,24.0,0.0,7.0
837b4cfffffffff,2.0,0.0,2.0
837b4dfffffffff,1.0,0.0,0.0
837b68fffffffff,3.0,0.0,0.0
837b6dfffffffff,1.0,0.0,0.0
83968dfffffffff,3.0,0.0,0.0
8396a5fffffffff,22.0,13.0,0.0
8396b0fffffffff,9.0,0.0,0.0
8396b4fffffffff,1.0,0.0,0.0
8396b5fffffffff,3.0,0.0,0.0
8396b6fffffffff,9.0,0.0,0.0
8396d2fffffffff,2.0,0.0,2.0
8396d6fffffffff,2.0,0.0,0.0
839700fffffffff,5.0,0.0,0.0
839702fffffffff,13.0,0.0,1.0
839703fffffffff,66.0,0.0,18.0
839710fffffffff,46.0,0.0,12.0
839711fffffffff,9.0,0.0,0.0
83971cfffffffff,58.0,0.0,4.0
83972dfffffffff,237.0,0.0,61.0
839793fffffffff,2.0,0.0,0.0
8397a3fffffffff,1.0,0.0,0.0
8397a8fffffffff,23.0,0.0,4.0
8397acfffffffff,4.0,0.0,4.0
83bc0bfffffffff,1.0,0.0,0.0
83bc89fffffffff,2.0,0.0,0.0
83bcd0fffffffff,121.0,0.0,46.0
83bcd2fffffffff,5.0,0.0,1.0
83bcd3fffffffff,16.0,0.0,2.0
83bcd6fffffffff,4.0,0.0,0.0
83bcf0fffffffff,6.0,0.0,0.0
83bcf2fffffffff,6.0,0.0,2.0
83bcf4fffffffff,68.0,0.0,15.0
83bcf6fffffffff,5.0,0.0,0.0
