cell_id,Phylloscopus presbytes,Phylloscopus presbytes floresianus,Phylloscopus presbytes presbytes
839423fffffffff,75.0,0.0,1.0
839426fffffffff,6.0,0.0,0.0
839428fffffffff,1.0,0.0,0.0
83942cfffffffff,60.0,0.0,23.0
83942dfffffffff,73.0,0.0,40.0
83942efffffffff,15.0,0.0,10.0
839518fffffffff,158.0,105.0,0.0
83951afffffffff,8.0,2.0,0.0
83951efffffffff,2.0,0.0,0.0
839553fffffffff,9.0,0.0,1.0
83955afffffffff,2.0,0.0,1.0
