cell_id,Melanopareia maximiliani,Melanopareia maximiliani maximiliani/argentina,Melanopareia maximiliani pallida
838b20fffffffff,3.0,0.0,0.0
838b2cfffffffff,1.0,0.0,0.0
838b2dfffffffff,2.0,0.0,0.0
83b240fffffffff,1.0,0.0,0.0
83b241fffffffff,29.0,0.0,0.0
83b243fffffffff,5.0,0.0,0.0
83b24cfffffffff,8.0,0.0,0.0
83b24efffffffff,2.0,0.0,0.0
83b25cfffffffff,8.0,0.0,0.0
83b25dfffffffff,1.0,0.0,0.0
83b261fffffffff,26.0,0.0,0.0
83b268fffffffff,12.0,0.0,0.0
83b26cfffffffff,13.0,0.0,0.0
83b26dfffffffff,1.0,0.0,0.0
83b340fffffffff,3.0,0.0,0.0
83b35afffffffff,2.0,0.0,0.0
